2theta_deg,Intensity_counts
0.5556,155.6
0.6111,155.6
0.6667,155.6
2.1111,177.8
2.1667,177.8
2.2222,133.3
2.2778,133.3
2.3333,133.3
2.3889,133.3
2.4444,133.3
2.5000,125.9
3.7222,274.1
3.7778,2163.0
3.8333,2155.6
3.8889,2214.8
3.9444,2170.4
4.0000,2170.4
4.0556,2170.4
4.1111,2170.4
4.1667,2163.0
6.7778,148.1
6.8333,148.1
6.8889,103.7
6.9444,96.3
7.0000,96.3
7.0556,96.3
7.1111,340.7
7.1667,340.7
7.2222,274.1
7.2778,296.3
7.3333,296.3
7.3889,296.3
7.4444,296.3
9.2778,237.0
9.3333,288.9
9.3889,229.6
9.4444,237.0
9.5000,222.2
9.5556,222.2
9.6111,244.4
9.6667,237.0
12.1667,177.8
12.2222,177.8
12.2778,133.3
12.3333,140.7
12.3889,140.7
12.4444,140.7
12.5000,133.3
13.1111,103.7
13.1667,155.6
13.2222,155.6
13.2778,111.1
13.3333,111.1
13.3889,118.5
13.4444,111.1
13.5000,103.7
13.6667,66.7
13.7222,155.6
13.7778,103.7
13.8333,66.7
13.8889,103.7
13.9444,103.7
14.0000,103.7
14.0556,66.7
14.5000,170.4
14.5556,170.4
14.6111,133.3
14.6667,133.3
14.7222,133.3
14.7778,125.9
14.8333,170.4
14.8889,170.4
14.9444,125.9
15.0000,125.9
15.0556,125.9
15.1111,125.9
15.1667,125.9
15.3333,170.4
15.3889,170.4
15.4444,170.4
15.5000,125.9
15.5556,125.9
15.6111,133.3
15.6667,125.9
15.7222,51.9
17.0000,177.8
17.0556,177.8
17.1111,125.9
17.1667,96.3
17.2222,103.7
17.2778,103.7
17.3333,96.3
17.4444,237.0
17.5000,355.6
17.5556,355.6
17.6111,311.1
17.6667,318.5
17.7222,318.5
17.7778,318.5
17.8333,311.1
19.0000,251.9
19.0556,251.9
19.1111,200.0
19.1667,170.4
19.2222,170.4
19.2778,177.8
19.3333,170.4
19.6667,140.7
19.7222,192.6
19.7778,192.6
19.8333,118.5
19.8889,148.1
19.9444,140.7
20.0000,140.7
20.0556,148.1
20.3333,177.8
20.3889,177.8
20.4444,125.9
20.5000,96.3
20.5556,118.5
20.6111,118.5
20.6667,88.9
21.7222,200.0
21.7778,200.0
21.8333,155.6
21.8889,133.3
21.9444,133.3
22.0000,155.6
22.0556,155.6
22.1111,14.8
22.7778,237.0
22.8333,237.0
22.8889,155.6
22.9444,192.6
23.0000,185.2
23.0556,185.2
23.1111,192.6
23.7222,163.0
23.7778,288.9
23.8333,288.9
23.8889,237.0
23.9444,244.4
24.0000,118.5
24.0556,244.4
24.1111,237.0
24.1667,229.6
24.2222,177.8
24.2778,163.0
24.3333,185.2
24.3889,185.2
24.4444,177.8
24.8889,274.1
24.9444,274.1
25.0000,274.1
25.0556,229.6
25.1111,229.6
25.1667,237.0
25.2222,229.6
25.2778,229.6
25.7222,185.2
25.7778,185.2
25.8333,133.3
25.8889,140.7
25.9444,148.1
26.0000,148.1
26.0556,140.7
26.1111,133.3
27.1667,192.6
27.2222,192.6
27.2778,148.1
27.3333,148.1
27.3889,148.1
27.4444,148.1
27.5000,140.7
27.5556,170.4
27.6111,170.4
27.6667,103.7
27.7222,103.7
27.7778,44.4
27.8333,125.9
27.8889,118.5
30.1667,111.1
30.2222,163.0
30.2778,118.5
30.3333,96.3
30.3889,44.4
30.4444,96.3
30.5000,118.5
30.5556,111.1
31.7222,111.1
31.7778,163.0
31.8333,163.0
31.8889,125.9
31.9444,118.5
32.0000,118.5
32.0556,111.1
32.1111,125.9
32.7222,103.7
32.7778,155.6
32.8333,155.6
32.8889,111.1
32.9444,111.1
33.0000,118.5
33.0556,111.1
33.1111,111.1
34.8333,125.9
34.8889,177.8
34.9444,177.8
35.0000,96.3
35.0556,111.1
35.1111,111.1
35.1667,133.3
35.2222,125.9
38.1667,2288.9
38.2222,2288.9
38.2778,2288.9
38.3333,148.1
38.3889,148.1
38.4444,103.7
38.5000,103.7
38.5556,111.1
38.6111,111.1
38.6667,66.7
39.3889,148.1
39.4444,148.1
39.5000,111.1
39.5556,103.7
39.6111,103.7
39.6667,96.3
39.7222,2288.9
42.3889,2288.9
