2theta_deg,Intensity_counts
0.5556,14.8
0.9444,22.2
1.2778,14.8
1.3333,14.8
1.3889,14.8
1.4444,14.8
1.8333,14.8
2.0000,29.6
2.0556,22.2
2.2778,22.2
2.4444,14.8
2.8333,37.0
2.8889,44.4
2.9444,44.4
3.0000,66.7
3.0556,59.3
3.1111,103.7
3.1667,133.3
3.2222,177.8
3.2778,192.6
3.3889,214.8
3.4444,244.4
3.5000,251.9
3.5556,274.1
3.6111,274.1
3.6667,274.1
3.7222,274.1
3.7778,274.1
3.8333,281.5
3.9444,414.8
4.0000,429.6
4.2222,14.8
5.3333,14.8
5.5000,14.8
5.5556,14.8
5.6111,14.8
5.6667,22.2
6.2222,22.2
6.2778,22.2
6.5556,22.2
6.6667,14.8
6.7222,14.8
6.8889,14.8
6.9444,22.2
7.0000,59.3
7.0556,74.1
7.2778,303.7
7.3333,459.3
7.3889,563.0
7.5000,585.2
7.5556,600.0
7.6111,29.6
7.6667,14.8
7.7222,14.8
7.7778,659.3
7.9444,740.7
8.1111,814.8
8.1667,785.2
8.3333,814.8
8.6111,14.8
8.9444,29.6
9.0000,44.4
9.4444,1666.7
9.5000,1785.2
9.6111,444.4
9.6667,81.5
9.7778,59.3
9.8333,1874.1
9.8889,29.6
9.9444,22.2
10.0000,14.8
10.1111,2059.3
10.2222,1992.6
10.4444,2029.6
10.6111,22.2
10.8333,29.6
10.8889,29.6
10.9444,44.4
11.0000,66.7
11.0556,59.3
11.1111,103.7
11.1667,14.8
11.3333,163.0
11.3889,22.2
11.6111,311.1
11.7222,340.7
11.7778,340.7
11.8333,29.6
11.9444,274.1
12.0000,88.9
12.0556,81.5
12.1111,29.6
12.2778,22.2
12.3333,185.2
12.3889,185.2
12.5556,192.6
12.6111,370.4
12.6667,251.9
12.7222,259.3
12.8333,251.9
12.8889,303.7
12.9444,333.3
13.0000,333.3
13.0556,170.4
13.1111,185.2
13.1667,185.2
13.2222,400.0
13.2778,400.0
13.3333,229.6
13.3889,503.7
13.4444,400.0
13.5000,400.0
13.5556,518.5
13.6111,429.6
13.6667,437.0
13.7222,459.3
13.7778,429.6
13.8333,429.6
13.8889,429.6
13.9444,511.1
14.0000,429.6
14.0556,422.2
14.2222,540.7
14.2778,37.0
14.3333,622.2
14.3889,22.2
14.5000,696.3
14.7222,444.4
14.7778,466.7
14.8889,229.6
15.1111,563.0
15.2222,400.0
15.2778,570.4
15.3333,577.8
15.3889,711.1
15.4444,622.2
15.5000,622.2
15.5556,637.0
15.6111,696.3
15.6667,763.0
15.7222,755.6
15.7778,755.6
15.8333,755.6
15.8889,807.4
15.9444,814.8
16.0000,814.8
16.0556,814.8
16.1111,814.8
16.1667,948.1
16.2222,985.2
16.2778,918.5
16.3889,955.6
16.4444,918.5
16.5000,918.5
16.5556,948.1
16.8889,22.2
16.9444,22.2
17.0000,59.3
17.0556,74.1
17.2222,385.2
17.2778,674.1
17.4444,1229.6
17.8333,14.8
18.0556,1429.6
18.1667,1459.3
18.3889,1496.3
18.6111,22.2
18.6667,44.4
18.7222,81.5
18.7778,133.3
18.8889,237.0
18.9444,244.4
19.0000,74.1
19.0556,29.6
19.1111,22.2
19.1667,14.8
19.2778,333.3
19.5000,14.8
19.6667,14.8
19.7778,59.3
19.8333,355.6
19.9444,340.7
20.0000,340.7
20.3333,1837.0
20.3889,1755.6
20.4444,1288.9
20.5556,503.7
20.6111,496.3
20.9444,2088.9
21.0000,2081.5
21.1111,2051.9
21.1667,14.8
21.2222,2088.9
21.2778,2111.1
21.3889,44.4
21.4444,37.0
21.5000,81.5
21.5556,103.7
21.6111,118.5
21.6667,170.4
21.7222,266.7
21.8333,896.3
21.8889,1348.1
21.9444,1629.6
22.0000,2177.8
22.0556,2185.2
22.1111,2192.6
22.1667,1437.0
22.2778,2237.0
22.3333,2251.9
22.3889,2266.7
22.4444,81.5
22.5000,111.1
22.5556,155.6
22.7222,763.0
22.8333,977.8
23.1111,355.6
23.1667,363.0
23.2222,333.3
23.3889,214.8
23.4444,1200.0
23.5000,1274.1
23.5556,1274.1
23.6111,1229.6
23.6667,1155.6
23.7222,1274.1
23.7778,1111.1
24.1111,14.8
24.2222,59.3
24.2778,96.3
24.3889,422.2
24.4444,518.5
24.5000,563.0
24.5556,577.8
24.6111,607.4
24.6667,659.3
24.7222,703.7
24.7778,681.5
24.8333,733.3
24.8889,422.2
25.0556,807.4
25.1111,837.0
25.1667,837.0
25.2222,711.1
25.2778,837.0
25.3333,985.2
25.3889,844.4
25.4444,933.3
25.5000,933.3
25.5556,933.3
25.6667,948.1
25.7222,44.4
25.7778,51.9
26.0000,237.0
26.0556,229.6
26.1111,229.6
26.1667,266.7
26.2222,296.3
26.2778,296.3
26.3333,333.3
26.3889,370.4
26.4444,370.4
26.5000,748.1
26.5556,748.1
26.6111,725.9
26.6667,829.6
26.7222,829.6
26.7778,622.2
26.8333,600.0
26.8889,600.0
26.9444,229.6
27.0000,903.7
27.0556,192.6
27.1111,600.0
27.1667,214.8
27.2222,1059.3
27.2778,1096.3
27.3333,14.8
27.3889,1029.6
27.4444,1074.1
27.6111,1029.6
27.7222,14.8
27.7778,22.2
27.8333,348.1
27.8889,51.9
28.0000,140.7
28.0556,474.1
28.1111,185.2
28.1667,192.6
28.2222,296.3
28.3333,422.2
28.3889,437.0
28.4444,474.1
28.5000,385.2
28.6667,192.6
28.7222,192.6
28.7778,555.6
28.8333,251.9
28.8889,229.6
28.9444,237.0
29.0556,600.0
29.1111,748.1
29.1667,748.1
29.2222,748.1
29.3333,577.8
29.4444,503.7
29.5000,400.0
29.5556,533.3
29.6111,511.1
29.6667,511.1
29.7222,525.9
29.7778,540.7
29.8333,511.1
29.8889,81.5
29.9444,525.9
30.0000,88.9
30.1111,118.5
30.3333,170.4
30.5000,14.8
30.5556,22.2
30.6111,37.0
30.6667,29.6
30.7222,22.2
30.7778,44.4
30.8333,44.4
30.8889,37.0
30.9444,88.9
31.1667,140.7
31.2778,14.8
31.3333,51.9
31.3889,325.9
31.4444,96.3
31.5000,96.3
31.5556,148.1
31.6111,177.8
31.6667,185.2
31.7222,207.4
31.7778,207.4
31.8333,96.3
31.8889,148.1
31.9444,148.1
32.0000,200.0
32.0556,207.4
32.1111,266.7
32.1667,318.5
32.2222,370.4
32.2778,377.8
32.3333,407.4
32.3889,444.4
32.4444,414.8
32.5000,437.0
32.5556,451.9
32.6111,133.3
32.6667,192.6
32.7222,237.0
32.7778,266.7
32.8333,311.1
32.8889,237.0
32.9444,207.4
33.0000,629.6
33.0556,370.4
33.1111,385.2
33.1667,600.0
33.2222,29.6
33.2778,37.0
33.3333,14.8
33.3889,459.3
33.4444,14.8
33.5556,437.0
33.6667,51.9
33.7778,577.8
33.8889,29.6
33.9444,51.9
34.0000,133.3
34.0556,133.3
34.1667,207.4
34.2222,214.8
34.2778,229.6
34.3333,251.9
34.3889,266.7
34.4444,325.9
34.5000,340.7
34.5556,303.7
34.6111,192.6
34.6667,185.2
34.7222,155.6
34.7778,414.8
34.8333,407.4
34.8889,407.4
34.9444,451.9
35.0000,563.0
35.0556,592.6
35.1111,592.6
35.1667,525.9
35.2222,444.4
35.2778,592.6
35.3889,525.9
35.4444,192.6
35.5000,363.0
35.5556,251.9
35.6111,244.4
35.6667,251.9
35.7778,200.0
35.8333,288.9
35.8889,481.5
36.0000,111.1
36.0556,222.2
36.1111,548.1
36.1667,511.1
36.2222,474.1
36.2778,474.1
36.3333,444.4
36.3889,444.4
36.4444,474.1
36.5000,496.3
36.5556,444.4
36.6111,325.9
36.6667,414.8
36.7222,414.8
36.7778,44.4
36.8333,29.6
36.8889,29.6
36.9444,14.8
37.0000,22.2
37.0556,29.6
37.1111,29.6
37.1667,148.1
37.2778,22.2
37.3889,214.8
37.4444,44.4
37.5000,66.7
37.5556,177.8
37.6111,81.5
37.7222,37.0
37.7778,14.8
37.8333,148.1
37.8889,155.6
37.9444,170.4
38.1111,22.2
38.1667,355.6
38.2222,355.6
38.2778,311.1
38.3333,88.9
38.3889,88.9
38.4444,118.5
38.5000,318.5
38.5556,148.1
38.6111,155.6
38.6667,177.8
38.7222,185.2
38.7778,200.0
38.8333,207.4
38.8889,237.0
38.9444,14.8
39.0556,385.2
39.1111,392.6
39.1667,392.6
39.2222,392.6
39.2778,392.6
39.3333,392.6
39.3889,392.6
39.4444,414.8
39.5000,414.8
39.5556,74.1
39.6111,66.7
39.6667,51.9
39.7222,51.9
39.7778,22.2
40.0556,288.9
40.1111,288.9
40.1667,348.1
40.2222,244.4
40.2778,288.9
40.3333,37.0
40.3889,44.4
40.4444,111.1
40.5000,111.1
40.6111,148.1
40.6667,148.1
40.7222,140.7
40.7778,140.7
40.8333,125.9
40.8889,125.9
40.9444,192.6
41.0000,44.4
41.0556,29.6
41.1111,66.7
41.1667,81.5
41.2222,133.3
41.2778,244.4
41.3333,244.4
41.3889,385.2
41.4444,385.2
41.5000,244.4
41.5556,222.2
41.6111,29.6
41.8889,348.1
41.9444,266.7
42.0000,414.8
42.0556,407.4
42.1111,429.6
42.1667,37.0
42.2778,81.5
42.3889,103.7
42.5000,51.9
42.5556,59.3
42.6111,81.5
42.6667,66.7
42.7222,200.0
42.7778,111.1
42.8333,118.5
42.8889,148.1
42.9444,140.7
43.0000,311.1
43.0556,229.6
43.1111,22.2
43.1667,355.6
43.2222,237.0
43.2778,200.0
43.3333,377.8
43.3889,377.8
43.4444,222.2
43.5000,222.2
43.5556,385.2
43.6111,385.2
43.6667,229.6
43.7222,103.7
43.7778,370.4
43.8333,66.7
43.8889,200.0
43.9444,44.4
44.0000,44.4
44.0556,37.0
44.1111,14.8
44.2222,251.9
44.2778,370.4
44.5000,377.8
44.6111,14.8
44.6667,59.3
44.7222,51.9
44.7778,51.9
44.8333,59.3
44.8889,59.3
45.0000,14.8
45.0556,22.2
45.1111,22.2
45.2778,14.8
