2theta_deg,Intensity_counts
0.5195,4273.7
0.5468,4273.7
0.5742,4273.7
0.6015,4264.4
0.6288,4320.3
0.6562,4329.6
0.6835,4236.5
1.3397,4236.5
1.3671,4236.5
1.3944,4236.5
1.4217,4236.5
1.4491,1694.6
1.4764,1666.7
1.5038,1620.1
1.5584,1554.9
1.5858,1545.6
1.6131,1527.0
1.6405,1517.7
1.6678,1508.4
1.6951,1499.1
1.7225,1499.1
1.7498,1489.8
1.7772,1480.4
1.8045,1480.4
1.8319,1471.1
1.8592,1461.8
1.8865,1452.5
1.9139,1443.2
1.9412,1443.2
1.9686,1424.6
1.9959,1406.0
2.0232,1396.6
2.0506,1396.6
2.0779,1396.6
2.1053,1396.6
2.1326,1396.6
2.1599,1387.3
2.1873,1378.0
2.2146,1368.7
2.2420,1350.1
2.2693,1340.8
2.2967,1340.8
2.3240,1331.5
2.3513,1331.5
2.3787,1322.2
2.4060,1312.8
2.4334,1303.5
2.4607,1284.9
2.4880,1275.6
2.5154,1266.3
2.5427,1266.3
2.5701,1266.3
2.5974,1257.0
2.6247,1257.0
2.6521,1247.7
2.6794,1238.4
2.7068,1238.4
2.7341,1219.7
2.7614,1210.4
2.7888,1201.1
2.8161,1201.1
2.8435,1191.8
2.8708,530.7
2.8982,530.7
2.9255,530.7
2.9528,1163.9
2.9802,1163.9
3.0075,521.4
3.0349,1163.9
3.0622,1163.9
3.0895,1154.6
3.1169,1154.6
3.1442,1154.6
3.1716,1145.3
3.1989,1126.6
3.2262,1117.3
3.2536,1108.0
3.2809,1108.0
3.3083,1098.7
3.4176,1089.4
3.4450,1089.4
3.4723,1089.4
3.4997,1098.7
3.5270,1117.3
3.5543,1135.9
3.5817,1145.3
3.6090,1163.9
3.6364,1173.2
3.6637,1191.8
3.6910,1229.1
3.7184,1247.7
3.7457,1322.2
3.7731,1396.6
3.8004,1480.4
3.8278,1601.5
3.8551,1731.8
3.8824,2104.3
3.9098,2458.1
3.9371,2821.2
3.9645,3165.7
3.9918,3510.2
4.0191,3826.8
4.0465,4692.7
4.0738,4692.7
4.1012,4692.7
4.1285,4692.7
4.1558,4692.7
4.1832,4692.7
4.2105,4692.7
4.2379,4366.9
4.2652,3640.6
4.3199,1657.4
4.3472,1210.4
4.3746,1201.1
4.4019,1163.9
4.4293,1145.3
4.4566,1089.4
4.4839,1061.5
4.5113,1033.5
4.5386,1014.9
4.5660,996.3
4.5933,977.7
4.6206,968.3
4.6480,968.3
4.6753,959.0
4.7027,959.0
4.7300,959.0
4.7573,959.0
4.7847,959.0
4.8120,959.0
4.8394,959.0
4.8667,949.7
4.8941,940.4
4.9214,931.1
