2theta_deg,Intensity_counts
0.5195,4571.7
0.5468,4571.7
0.5742,4571.7
0.6015,4571.7
0.6288,4571.7
0.6562,4571.7
0.6835,4562.4
0.7109,4329.6
0.7656,4469.3
0.9296,1759.8
0.9569,4534.5
0.9843,4553.1
1.0116,4562.4
1.0390,4562.4
1.0663,4571.7
1.0936,4571.7
1.1210,4571.7
1.1483,4571.7
1.1757,4571.7
1.2030,4562.4
1.2303,4562.4
1.2577,4553.1
1.2850,4543.8
1.3124,4422.7
1.3397,4394.8
1.9139,1834.3
1.9412,1834.3
1.9686,4692.7
1.9959,1443.2
2.0232,1424.6
2.0506,1406.0
2.0779,1378.0
2.1053,1368.7
2.1873,1331.5
2.2146,1331.5
2.2420,1322.2
2.2693,1312.8
2.2967,1294.2
2.3240,1284.9
2.3513,1210.4
2.3787,1210.4
2.4060,1210.4
2.4334,1210.4
2.4607,1210.4
2.4880,1201.1
2.5154,1201.1
2.5427,1191.8
2.5701,1173.2
2.5974,1145.3
2.6247,1135.9
2.6521,1135.9
2.6794,1135.9
2.7068,1135.9
2.7341,1145.3
2.7614,1145.3
2.7888,1145.3
2.8161,1135.9
2.8435,1108.0
2.8708,1098.7
2.8982,1089.4
2.9255,1080.1
2.9528,1080.1
2.9802,1080.1
3.0075,1080.1
3.0349,1080.1
3.0622,1070.8
3.0895,1052.1
3.1169,1052.1
3.1442,1042.8
3.1716,1024.2
3.1989,1014.9
3.2262,1014.9
3.2536,1014.9
3.2809,1014.9
3.3083,1014.9
3.3356,1014.9
3.3630,1005.6
3.3903,344.5
3.4176,344.5
3.4450,987.0
3.4723,987.0
3.4997,987.0
3.5270,987.0
3.5543,977.7
3.6364,931.1
3.6637,931.1
3.6910,921.8
3.7184,912.5
3.7457,912.5
3.7731,903.2
3.8004,903.2
3.8278,903.2
3.8551,903.2
3.8824,903.2
3.9098,912.5
3.9371,921.8
3.9645,931.1
3.9918,931.1
4.0191,940.4
4.0465,940.4
4.0738,977.7
4.1012,987.0
4.1285,1061.5
