2theta_deg,Intensity_counts
0.5195,595.9
0.5468,586.6
0.5742,586.6
0.6015,325.9
0.6288,325.9
0.6562,325.9
0.6835,325.9
0.7109,325.9
0.7382,316.6
0.7656,325.9
0.7929,325.9
0.8202,325.9
0.8476,325.9
0.8749,325.9
0.9023,325.9
0.9296,325.9
0.9569,726.3
0.9843,726.3
1.0116,726.3
1.0663,828.7
1.0936,828.7
1.1210,875.2
1.1483,875.2
1.1757,325.9
1.2030,977.7
1.2303,1033.5
1.2577,1033.5
1.2850,1033.5
1.3124,325.9
1.3397,325.9
1.3671,1368.7
1.3944,325.9
1.4217,325.9
1.5038,2262.6
1.5311,2262.6
1.5584,325.9
1.5858,3165.7
1.6131,4143.4
1.6405,4134.1
1.6678,4134.1
1.6951,325.9
1.7225,2514.0
1.7498,3184.4
1.7772,3184.4
1.8045,325.9
1.8319,325.9
1.8592,4199.3
1.8865,4692.7
1.9139,4692.7
1.9412,4189.9
1.9686,2458.1
1.9959,2514.0
2.0232,2439.5
2.0506,325.9
2.0779,651.8
2.1053,642.5
2.1326,633.1
2.1599,623.8
2.1873,623.8
2.2693,595.9
2.2967,595.9
2.3240,595.9
2.3513,586.6
2.3787,325.9
2.4060,568.0
2.4334,325.9
2.4607,325.9
2.4880,549.3
2.5154,540.0
2.5427,540.0
2.5701,530.7
2.5974,325.9
2.6247,325.9
2.6521,325.9
2.6794,325.9
2.7614,484.2
2.7888,484.2
2.8435,325.9
2.8708,325.9
2.8982,325.9
2.9255,502.8
2.9528,493.5
2.9802,493.5
3.0075,484.2
3.0349,484.2
3.0622,474.9
3.0895,325.9
3.1169,325.9
3.1442,325.9
3.1716,325.9
3.1989,325.9
3.2262,493.5
3.2536,493.5
3.2809,484.2
3.3630,325.9
3.3903,325.9
3.4176,512.1
3.4450,512.1
3.4723,502.8
3.4997,493.5
3.5817,325.9
3.6090,325.9
3.6364,325.9
3.6637,577.3
3.6910,577.3
3.7184,568.0
3.8551,325.9
3.8824,325.9
3.9098,325.9
3.9371,325.9
3.9645,325.9
3.9918,493.5
4.0191,484.2
4.0465,484.2
4.0738,474.9
4.1012,325.9
4.1285,325.9
4.1558,325.9
4.1832,325.9
