Peak_No,2theta_deg,Intensity_counts,Prominence_threshold
1,1.066,3761.6,50.0
2,1.832,2067.0,50.0
3,3.199,3258.8,50.0
4,4.019,344.5,50.0
5,4.429,372.4,50.0
6,5.167,2076.4,50.0
7,6.206,316.6,50.0
8,8.530,381.8,50.0
9,10.417,642.5,50.0
10,10.636,940.4,50.0
11,11.210,363.1,50.0
12,12.331,828.7,50.0
13,14.053,568.0,50.0
14,14.627,614.5,50.0
15,15.448,893.9,50.0
16,17.744,689.0,50.0
17,19.111,735.6,50.0
18,19.768,558.7,50.0
19,21.545,856.6,50.0
20,22.912,1331.5,50.0
21,24.306,735.6,50.0
22,25.099,726.3,50.0
23,26.247,558.7,50.0
24,27.833,623.8,50.0
25,28.708,661.1,50.0
26,29.255,577.3,50.0
27,30.759,456.2,50.0
28,31.333,437.6,50.0
29,32.618,437.6,50.0
30,33.903,512.1,50.0
31,34.368,456.2,50.0
32,35.133,465.5,50.0
33,37.293,363.1,50.0
