2theta_deg,Intensity_counts
0.5195,4497.2
0.6562,4515.8
0.6835,4515.8
0.7109,4515.8
0.7382,4515.8
0.9023,4515.8
0.9296,4515.8
0.9569,4515.8
0.9843,4515.8
1.1757,4525.1
1.2030,4515.8
1.2303,4515.8
1.2577,4497.2
1.6678,4487.9
1.6951,4497.2
1.7225,4506.5
1.7498,4450.7
1.7772,4441.3
1.8045,1433.9
1.8319,1759.8
1.9412,4515.8
1.9686,4515.8
1.9959,4515.8
2.0232,4497.2
2.0506,4497.2
2.1873,4571.7
2.2146,4571.7
2.2420,4571.7
2.2693,4515.8
2.4334,4515.8
2.4607,4515.8
2.4880,4515.8
2.5154,4506.5
2.5427,4497.2
2.6794,4525.1
2.7068,4534.5
2.7341,4534.5
2.7614,4441.3
2.9255,4450.7
2.9528,4450.7
2.9802,4515.8
3.0075,4441.3
3.1442,4515.8
3.1716,4515.8
3.1989,4506.5
3.2262,4441.3
3.4176,4515.8
3.4450,4515.8
3.4723,4515.8
3.6910,4515.8
3.7184,4515.8
3.7457,4515.8
3.9098,4525.1
3.9371,4525.1
3.9645,4515.8
3.9918,4515.8
4.0191,4497.2
4.1558,4497.2
4.1832,4497.2
4.2105,4506.5
4.2379,4450.7
4.2652,4441.3
4.2925,4441.3
4.3199,4441.3
4.3472,4432.0
4.3746,4432.0
4.4293,4515.8
4.4566,4506.5
4.4839,4497.2
4.5933,4478.6
4.6206,4478.6
4.6480,4497.2
4.6753,4450.7
4.7027,4441.3
4.7300,4441.3
4.8941,4571.7
4.9214,4571.7
4.9487,4571.7
4.9761,4441.3
5.3315,4450.7
5.3589,4450.7
5.3862,4515.8
5.5502,4515.8
5.5776,4515.8
5.6049,4515.8
5.6323,4441.3
5.7963,4497.2
5.8237,4506.5
5.8510,4487.9
5.8783,4487.9
5.9057,4478.6
5.9330,4478.6
5.9604,4469.3
5.9877,4469.3
6.0150,4469.3
6.0424,4460.0
6.0697,4450.7
6.4525,4515.8
6.4798,4515.8
6.5072,4515.8
6.5345,4515.8
6.6986,4515.8
6.7259,4515.8
6.7532,4515.8
6.7806,4515.8
6.8079,4497.2
6.9173,4487.9
6.9446,4497.2
6.9720,4497.2
6.9993,4487.9
7.0267,4450.7
7.0540,4441.3
7.0813,4441.3
7.1087,4432.0
7.1907,4506.5
7.2180,4515.8
7.2454,4506.5
7.2727,4497.2
7.4094,4515.8
7.4368,4515.8
7.4641,4515.8
8.0109,4562.4
8.0383,4571.7
8.0656,4571.7
8.0930,4515.8
8.5851,4515.8
8.6124,4515.8
8.6398,4506.5
8.6671,4497.2
8.6945,4497.2
8.7218,4487.9
8.7491,4478.6
8.7765,4469.3
8.8038,4460.0
8.8312,4450.7
8.8585,4450.7
8.8859,4441.3
9.0499,4450.7
9.0772,4450.7
9.1046,4515.8
9.2686,4515.8
9.2960,4515.8
9.3233,4506.5
9.3506,4441.3
9.5420,4515.8
9.5694,4515.8
9.5967,4515.8
9.7881,4525.1
9.8154,4515.8
9.8428,4515.8
9.8701,4497.2
10.0342,4525.1
10.0615,4515.8
10.0889,4515.8
10.1162,4515.8
10.3076,4515.8
10.3349,4515.8
10.3623,4515.8
10.5263,4515.8
10.5537,4515.8
10.5810,4515.8
10.6083,4515.8
10.6357,4497.2
10.6630,4497.2
10.8271,4571.7
10.8544,4571.7
10.8817,4571.7
11.0458,4487.9
11.0731,4497.2
11.1005,4506.5
11.1278,4487.9
11.1552,4450.7
11.1825,4441.3
11.2098,4441.3
11.2372,4432.0
11.2645,4432.0
11.3192,4515.8
11.3465,4506.5
11.3739,4506.5
11.4012,4497.2
11.9481,4562.4
11.9754,4562.4
12.0027,4562.4
12.0301,4553.1
12.0574,4553.1
