2theta_deg,Intensity_counts
1.8319,4692.7
1.8592,4692.7
1.8865,4646.2
1.9139,4618.2
1.9412,4599.6
1.9686,4590.3
1.9959,4581.0
2.0232,4590.3
2.0506,4571.7
2.0779,4571.7
2.1053,4571.7
2.1326,4581.0
2.1599,4581.0
2.1873,4590.3
2.2146,4599.6
2.2420,4599.6
2.2693,4199.3
2.2967,4180.6
2.4060,4692.7
2.4334,4692.7
2.4607,4292.4
2.4880,4292.4
2.5154,4283.1
2.5427,4292.4
2.5701,4301.7
2.5974,4692.7
2.6247,4692.7
2.6521,4683.4
2.6794,4674.1
2.7068,4646.2
2.7341,4646.2
2.7614,4627.6
2.7888,4608.9
2.8161,4618.2
2.8435,4692.7
2.8708,4692.7
2.9802,4301.7
3.0075,4292.4
3.0349,4283.1
3.0622,4171.3
3.1169,4581.0
3.1442,4152.7
3.1716,4581.0
3.1989,4581.0
3.2262,4581.0
3.2536,4692.7
3.2809,4692.7
3.3083,4581.0
3.3356,4581.0
3.3630,4264.4
3.3903,4581.0
3.5270,4376.2
3.5543,4366.9
3.6364,4581.0
3.6637,4581.0
3.7184,4581.0
3.7457,4571.7
3.7731,4692.7
3.8004,4692.7
3.8278,4581.0
3.8824,4581.0
3.9098,4581.0
3.9645,4264.4
3.9918,4273.7
4.0191,4283.1
4.0465,4292.4
4.0738,4646.2
4.1012,4664.8
4.1285,4674.1
4.1558,4683.4
4.1832,4683.4
4.2105,4692.7
4.2379,4692.7
4.2652,4692.7
4.2925,4692.7
4.3199,4692.7
4.3472,4683.4
4.3746,4674.1
4.4019,4664.8
4.4293,4664.8
4.4566,4646.2
4.4839,4301.7
4.5113,4301.7
4.5386,4311.0
4.5660,4311.0
4.5933,4311.0
4.6206,4301.7
4.6480,4301.7
4.6753,4581.0
4.7027,4599.6
4.7300,4618.2
4.7573,4636.9
4.7847,4664.8
4.8120,4674.1
4.8394,4692.7
4.8667,4692.7
4.8941,4283.1
4.9214,4301.7
4.9487,4283.1
4.9761,4283.1
5.0581,4301.7
5.0854,4311.0
5.1128,4311.0
5.1401,4311.0
5.1675,4301.7
5.1948,4590.3
5.2221,4599.6
5.2495,4627.6
5.2768,4646.2
5.3042,4655.5
5.3315,4683.4
5.3589,4692.7
5.3862,4692.7
5.4135,4301.7
5.4409,4301.7
5.4682,4348.2
5.4956,4348.2
5.5229,4301.7
5.5502,4301.7
5.5776,4162.0
5.6049,4301.7
5.6323,4162.0
