2theta_deg,Intensity_counts
0.5195,4581.0
0.5468,4581.0
0.5742,4003.7
0.6835,1108.0
0.7109,1108.0
0.8476,4581.0
0.8749,4581.0
0.9023,4581.0
0.9296,4571.7
0.9569,4534.5
1.4764,3361.3
1.5038,3361.3
1.5311,3361.3
1.5584,3361.3
1.5858,3361.3
1.6131,3361.3
1.6405,3361.3
1.6678,3361.3
1.6951,3361.3
1.7225,3361.3
1.7498,279.3
1.7772,3361.3
1.8045,3361.3
1.8319,288.6
1.8592,4543.8
1.8865,4692.7
1.9139,4692.7
1.9412,4692.7
1.9686,847.3
2.0779,232.8
2.1053,232.8
2.1326,223.5
2.1599,214.2
3.9371,446.9
3.9645,456.2
3.9918,456.2
4.0191,446.9
4.0465,446.9
5.7143,279.3
5.7416,279.3
5.7690,288.6
5.7963,279.3
5.8237,270.0
6.0150,446.9
6.0424,456.2
6.0697,456.2
6.0971,446.9
6.1244,251.4
6.1517,260.7
6.1791,270.0
6.2064,270.0
6.5072,279.3
6.5345,270.0
6.5619,270.0
6.5892,260.7
8.0656,446.9
8.0930,456.2
8.1203,456.2
8.1476,456.2
8.1750,446.9
9.8428,270.0
9.8701,279.3
9.8975,279.3
9.9248,288.6
9.9522,288.6
9.9795,279.3
10.1435,446.9
10.1709,456.2
10.1982,456.2
10.2256,456.2
10.2529,446.9
10.3076,260.7
10.3349,270.0
10.3623,288.6
10.3896,288.6
10.4170,288.6
10.6083,288.6
10.6357,288.6
10.6630,232.8
10.6904,232.8
10.7177,232.8
10.7450,223.5
12.2215,446.9
12.2488,456.2
12.2761,456.2
12.3035,446.9
13.8072,176.9
13.8346,186.2
13.8619,279.3
13.8893,195.5
13.9166,195.5
13.9440,195.5
14.1900,279.3
14.2174,279.3
14.2447,270.0
14.2720,446.9
14.2994,456.2
14.3267,456.2
14.3541,456.2
14.3814,446.9
14.4087,251.4
14.4361,270.0
14.4634,270.0
14.4908,279.3
14.7915,270.0
14.8189,270.0
14.8462,270.0
14.8735,251.4
16.3500,446.9
16.3773,456.2
16.4046,456.2
16.4320,456.2
16.4593,446.9
17.9631,186.2
17.9904,279.3
18.0178,195.5
18.0451,195.5
18.0725,195.5
18.3185,279.3
18.3459,279.3
18.3732,270.0
18.4279,446.9
18.4552,456.2
18.4826,456.2
18.5099,456.2
18.5373,446.9
18.5919,260.7
18.6193,279.3
18.6466,288.6
18.6740,288.6
18.7013,288.6
18.8107,288.6
18.8380,288.6
18.9474,232.8
18.9747,232.8
19.0021,223.5
19.0294,214.2
20.5058,446.9
20.5332,456.2
20.5605,456.2
20.5878,456.2
20.6152,446.9
22.1463,176.9
22.3923,232.8
22.4197,260.7
22.4470,279.3
22.4744,270.0
22.5017,223.5
22.5290,214.2
22.5564,446.9
22.5837,456.2
22.6111,456.2
22.6384,456.2
22.6658,446.9
22.6931,251.4
22.7204,270.0
22.7478,270.0
22.7751,279.3
23.0759,270.0
23.1032,270.0
23.1306,270.0
23.1579,251.4
24.6343,446.9
24.6617,456.2
24.6890,456.2
24.7163,456.2
24.7437,446.9
26.2748,186.2
26.3021,176.9
26.5482,242.1
26.5755,270.0
26.6029,279.3
26.6302,270.0
26.6576,214.2
26.6849,204.8
26.7122,446.9
26.7396,446.9
26.7669,456.2
26.7943,456.2
26.8216,446.9
26.8763,260.7
26.9036,270.0
26.9310,279.3
26.9583,288.6
26.9856,288.6
27.0130,288.6
27.2317,232.8
27.2591,232.8
27.2864,223.5
27.3137,223.5
28.7902,446.9
28.8175,456.2
28.8448,456.2
28.8722,456.2
28.8995,446.9
30.3213,214.2
30.3486,223.5
30.3759,223.5
30.4033,223.5
30.4306,223.5
30.6220,279.3
30.6494,279.3
30.6767,288.6
30.7040,279.3
30.7314,232.8
30.7587,214.2
30.8681,446.9
30.8954,456.2
30.9228,456.2
30.9501,446.9
30.9774,251.4
31.0048,270.0
31.0321,270.0
31.0595,279.3
31.3602,270.0
31.3876,270.0
31.4149,270.0
31.4422,260.7
32.9187,446.9
32.9460,456.2
32.9733,456.2
33.0007,456.2
33.0280,446.9
34.4771,214.2
34.5044,223.5
34.5318,223.5
34.5591,232.8
34.5865,223.5
34.7505,270.0
34.7779,279.3
34.8052,279.3
34.8325,279.3
34.8599,270.0
34.8872,223.5
34.9966,465.5
35.0239,4692.7
35.0513,4692.7
35.0786,4692.7
35.1606,251.4
35.1880,279.3
35.2153,288.6
35.2427,288.6
35.2700,288.6
35.2973,288.6
35.3247,288.6
35.5161,232.8
35.5434,232.8
35.5707,232.8
35.5981,223.5
