2theta_deg,Intensity_counts
1.2577,754.2
1.2850,772.8
1.3124,744.9
1.3397,735.6
1.4491,614.5
1.4764,623.8
1.5038,623.8
1.5311,623.8
1.5584,614.5
1.5858,586.6
1.6131,577.3
1.6405,568.0
1.6678,549.3
1.6951,540.0
1.7225,530.7
1.7498,521.4
1.7772,521.4
1.8045,512.1
1.8319,502.8
1.8592,502.8
1.8865,484.2
1.9139,474.9
1.9412,465.5
1.9959,419.0
2.0232,419.0
2.0506,419.0
2.0779,428.3
2.1053,428.3
2.1326,428.3
2.2420,409.7
2.2693,400.4
2.2967,409.7
2.3240,409.7
2.3513,409.7
2.3787,419.0
2.4060,419.0
2.4334,419.0
2.9528,372.4
3.0622,344.5
3.1442,1266.3
3.1716,1266.3
3.1989,1406.0
3.2262,1406.0
3.2536,1275.6
3.2809,1275.6
3.3083,307.3
3.3356,307.3
3.3630,307.3
3.5543,298.0
3.5817,298.0
3.6090,298.0
3.7184,335.2
3.7457,344.5
3.7731,344.5
4.2925,288.6
4.3199,288.6
4.3472,288.6
4.3746,288.6
4.4019,288.6
4.4293,288.6
4.4566,279.3
4.6206,1610.8
4.6480,279.3
4.6753,288.6
4.7027,288.6
4.7300,288.6
4.7847,307.3
4.8120,316.6
4.8394,316.6
4.8667,316.6
5.3042,4413.4
5.3315,4413.4
5.7690,372.4
5.7963,372.4
5.8237,381.8
5.8510,381.8
6.0150,325.9
6.0424,325.9
6.3705,260.7
6.3978,260.7
6.4252,260.7
6.6439,251.4
6.6712,251.4
6.6986,251.4
6.7259,251.4
6.7532,242.1
6.7806,242.1
6.8079,242.1
6.8353,242.1
6.8626,242.1
6.8900,232.8
6.9173,232.8
6.9446,232.8
6.9720,232.8
6.9993,232.8
7.0267,232.8
7.0540,232.8
7.0813,242.1
7.1087,242.1
7.1360,232.8
7.1634,232.8
7.4094,270.0
7.4368,270.0
7.4641,270.0
7.4915,279.3
7.5188,307.3
7.5461,316.6
7.5735,316.6
7.6008,298.0
7.6828,279.3
7.7922,251.4
7.8195,260.7
7.8469,260.7
7.8742,251.4
8.0109,847.3
8.0656,735.6
8.0930,735.6
8.1203,735.6
8.1476,735.6
8.3117,204.8
8.6945,204.8
8.7218,204.8
8.7491,204.8
9.3780,465.5
9.4053,484.2
9.4327,474.9
9.9795,223.5
10.0068,223.5
10.0342,223.5
10.0615,223.5
10.0889,223.5
10.1162,232.8
10.1435,232.8
10.1709,232.8
10.1982,223.5
10.2529,204.8
10.2802,204.8
10.3076,204.8
10.3349,195.5
10.3623,204.8
10.3896,204.8
10.4170,195.5
10.8817,232.8
10.9091,242.1
10.9364,242.1
10.9638,251.4
10.9911,242.1
11.0185,242.1
11.0458,232.8
11.1825,288.6
11.3192,242.1
11.5926,446.9
11.6200,474.9
11.6473,484.2
11.6746,838.0
11.7020,540.0
11.8113,623.8
11.8387,623.8
12.0027,204.8
12.0301,204.8
12.0574,204.8
12.0848,204.8
12.1121,204.8
12.2215,819.4
12.2488,819.4
12.2761,819.4
12.3035,819.4
12.3308,279.3
12.6316,214.2
12.6589,223.5
12.6863,214.2
12.7136,214.2
12.9323,791.4
13.3971,204.8
13.4245,204.8
13.4518,204.8
13.4792,204.8
13.7526,316.6
13.7799,316.6
13.9166,260.7
13.9440,260.7
14.3541,763.5
14.4087,223.5
14.4361,223.5
14.4634,800.7
