2theta_deg,Intensity_counts
5.7416,3677.8
5.7690,3705.8
5.7963,3715.1
5.8237,3733.7
5.8510,3733.7
5.8783,3752.3
5.9057,3752.3
5.9330,3743.0
5.9604,3761.6
5.9877,3761.6
6.0150,3761.6
6.0424,3761.6
6.0697,3761.6
6.0971,3752.3
6.1244,3752.3
6.1517,3743.0
6.1791,3193.7
6.2064,3165.7
6.2338,3137.8
6.3158,3752.3
6.3431,3752.3
6.3705,3743.0
6.3978,3733.7
6.4252,3724.4
6.4525,3705.8
6.4798,3696.5
6.5072,3687.2
6.5345,3677.8
6.5619,3659.2
6.5892,3649.9
6.6165,3631.3
6.6439,3622.0
6.6712,3612.7
6.6986,3594.0
6.7259,3584.7
6.7532,3752.3
6.7806,3752.3
6.8900,3258.8
6.9173,3277.5
6.9446,3268.2
6.9720,3258.8
7.0267,3715.1
7.0540,3724.4
7.0813,3733.7
7.1087,3733.7
7.1360,3752.3
7.1634,3752.3
7.1907,3761.6
7.2180,3752.3
7.2454,3547.5
7.2727,3556.8
7.3001,3556.8
7.4368,3342.6
7.4641,3361.3
7.4915,3361.3
7.5461,3705.8
7.5735,3715.1
7.6008,3724.4
7.6282,3743.0
7.6555,3556.8
7.6828,3761.6
7.7102,3761.6
7.7375,3752.3
7.7922,3556.8
7.8195,3547.5
7.8469,3556.8
7.8742,3221.6
7.9016,3240.2
7.9289,3258.8
7.9563,3268.2
7.9836,3277.5
8.0109,3715.1
8.0383,3724.4
8.0656,3743.0
8.0930,3743.0
8.1203,3752.3
8.1476,3752.3
8.1750,3761.6
8.2023,3761.6
8.2297,3761.6
8.2570,3761.6
8.2843,3752.3
8.3117,3743.0
8.3390,3733.7
8.3664,3724.4
8.3937,3696.5
8.4211,3277.5
8.4484,3286.8
8.4757,3277.5
8.5031,3286.8
8.5304,3715.1
8.5578,3733.7
8.5851,3743.0
8.6124,3752.3
8.6398,3649.9
8.6671,3761.6
8.6945,3761.6
8.7218,3752.3
8.7491,3761.6
8.7765,3752.3
8.8038,3752.3
8.8312,3743.0
8.8585,3733.7
8.8859,3724.4
8.9132,3696.5
8.9405,3268.2
8.9679,3277.5
8.9952,3277.5
9.0226,3286.8
9.0499,3286.8
9.0772,3696.5
9.1046,3752.3
9.1319,3761.6
9.1593,3761.6
9.1866,3761.6
9.2139,3761.6
9.2413,3761.6
9.2686,3752.3
9.2960,3761.6
9.3233,3761.6
9.3506,3752.3
9.3780,3640.6
9.4053,3631.3
9.4327,3277.5
9.4600,3277.5
9.4874,3277.5
9.5147,3622.0
9.5420,3622.0
9.5694,3649.9
9.5967,3659.2
9.6241,3668.5
9.6514,3668.5
9.6787,3687.2
9.7061,3705.8
9.7334,3724.4
9.7608,3724.4
9.7881,3752.3
9.8154,3761.6
9.8428,3752.3
9.8701,3733.7
9.8975,3612.7
9.9248,3612.7
9.9522,3268.2
9.9795,3268.2
10.0068,3268.2
10.0615,3761.6
10.1162,3761.6
10.1435,3761.6
10.1709,3761.6
