2theta_deg,Intensity_counts
1.5038,903.2
1.5311,903.2
1.6131,865.9
1.6405,865.9
1.6678,865.9
1.6951,865.9
1.7225,847.3
1.7498,847.3
1.7772,847.3
1.8045,838.0
1.8319,828.7
1.8592,819.4
2.4334,735.6
2.4607,735.6
2.4880,744.9
2.5154,735.6
2.5427,735.6
2.7341,763.5
2.9255,968.3
2.9528,949.7
3.1989,707.6
3.2262,707.6
3.2536,707.6
3.2809,707.6
3.3083,707.6
3.5543,1452.5
4.1558,707.6
4.1832,707.6
4.2105,707.6
4.3472,726.3
4.3746,735.6
4.4293,1219.7
4.4566,1219.7
4.5113,1033.5
4.5386,772.8
4.5933,1284.9
4.6206,1284.9
4.6480,1135.9
4.6753,1135.9
4.7027,735.6
4.7300,735.6
4.7847,707.6
4.8120,707.6
4.9487,707.6
4.9761,707.6
5.2495,819.4
5.2768,828.7
5.4135,912.5
5.4409,903.2
5.6869,3743.0
5.9057,847.3
5.9330,847.3
5.9604,847.3
6.4798,689.0
6.5072,689.0
6.5345,689.0
6.6986,1545.6
6.7259,1545.6
6.7532,1545.6
7.7375,716.9
7.7649,707.6
8.1750,968.3
8.3664,1191.8
8.8312,1089.4
10.0615,968.3
10.1435,865.9
10.1709,865.9
10.1982,865.9
10.3076,1135.9
10.3349,1135.9
10.4990,1201.1
10.5263,1201.1
11.0185,651.8
11.5106,716.9
11.5379,726.3
12.1121,1117.3
12.1394,1126.6
12.5769,139.7
12.7683,1117.3
12.9050,214.2
13.0964,204.8
13.1237,195.5
13.1511,195.5
13.2878,167.6
13.3698,176.9
13.3971,176.9
13.6432,195.5
13.6705,195.5
13.8893,1108.0
13.9166,176.9
13.9440,176.9
14.4908,651.8
14.5181,651.8
14.5455,651.8
14.5728,651.8
14.6001,651.8
14.6275,651.8
14.9009,167.6
15.2563,139.7
15.2837,139.7
15.6391,176.9
15.6664,167.6
15.7211,651.8
15.7485,651.8
15.7758,651.8
16.0219,195.5
16.0492,195.5
16.0766,195.5
16.4046,214.2
16.4320,214.2
16.4867,679.7
16.5140,679.7
16.6507,158.3
16.6781,167.6
16.7054,176.9
16.7327,186.2
16.7601,176.9
16.7874,167.6
16.8148,754.2
16.8421,1210.4
16.8694,1145.3
16.8968,744.9
17.2522,1238.4
17.2796,1238.4
17.3069,1229.1
17.3342,214.2
17.3616,1238.4
17.3889,1238.4
17.4163,1238.4
17.4436,1238.4
17.4710,1163.9
17.5256,195.5
17.5530,195.5
17.6897,167.6
17.7990,176.9
17.8537,679.7
17.9084,1201.1
18.0178,977.7
18.0451,987.0
18.0725,204.8
18.0998,195.5
18.2638,1219.7
18.3185,167.6
18.3459,176.9
18.3732,1219.7
18.4005,1219.7
18.4279,1219.7
18.6740,214.2
18.7013,214.2
18.7286,214.2
18.9200,195.5
18.9474,195.5
19.0567,176.9
19.0841,763.5
19.1661,167.6
19.1934,176.9
19.3301,176.9
19.4395,195.5
19.4668,195.5
19.6036,1275.6
19.7403,1061.5
19.7676,158.3
19.8770,707.6
19.9043,707.6
19.9316,707.6
20.1230,884.5
20.1504,893.9
20.1777,912.5
20.2051,167.6
20.2324,167.6
20.2597,158.3
20.3144,204.8
20.3418,214.2
20.3691,204.8
20.4238,149.0
20.4511,167.6
20.4785,176.9
20.6972,735.6
20.7245,735.6
20.9159,754.2
20.9433,754.2
21.1893,931.1
21.2714,1145.3
21.2987,1154.6
21.3260,1229.1
21.3534,1284.9
21.3807,1284.9
21.4081,1201.1
21.4354,1201.1
21.5174,1070.8
21.5448,1070.8
21.5995,977.7
21.6268,195.5
21.6541,195.5
21.7908,167.6
21.8182,167.6
21.8455,167.6
21.8729,167.6
21.9002,167.6
21.9275,167.6
21.9549,1191.8
21.9822,204.8
22.0096,204.8
22.0369,167.6
22.1463,195.5
22.2556,679.7
22.3923,186.2
22.4197,186.2
22.4470,186.2
22.5564,670.4
22.6111,158.3
22.6384,1210.4
22.6658,1294.2
22.6931,1294.2
22.7204,1210.4
22.7478,1219.7
22.7751,1219.7
22.8025,1210.4
22.8571,912.5
22.8845,1201.1
22.9118,912.5
24.0328,1080.1
24.0602,1080.1
28.5988,651.8
33.4108,1126.6
33.4381,1145.3
34.6138,474.9
34.6411,493.5
