2theta_deg,Intensity_counts
3.6910,2104.3
3.7184,2104.3
3.7457,2095.0
3.7731,2085.7
3.8004,2067.0
3.8551,1927.4
3.8824,1918.1
3.9098,1899.4
4.2379,1545.6
4.4293,1387.3
4.4566,1396.6
4.4839,1387.3
4.6480,1368.7
4.6753,1378.0
4.7027,1378.0
4.7300,1368.7
4.7573,1359.4
4.7847,1359.4
4.8120,1359.4
4.8394,1359.4
4.8667,1359.4
4.8941,1359.4
5.0034,1294.2
5.0308,1303.5
5.0581,1303.5
5.0854,1303.5
5.1128,1303.5
5.1401,1303.5
5.3042,1303.5
5.3315,1322.2
5.5502,1294.2
5.5776,1294.2
5.6049,1266.3
5.6323,1266.3
5.6596,1275.6
5.6869,1266.3
5.7143,1266.3
5.7416,1257.0
5.7690,1238.4
5.8783,1247.7
5.9057,1247.7
6.1517,1238.4
6.1791,1247.7
6.2064,1238.4
6.2338,1247.7
6.2611,1247.7
6.2884,1247.7
6.3158,1247.7
6.4798,1284.9
6.5072,1284.9
6.5345,1284.9
6.5619,1284.9
6.5892,1275.6
6.6165,1275.6
6.6986,1368.7
6.7806,1461.8
6.8079,1471.1
6.8353,1471.1
6.9720,1219.7
6.9993,1219.7
7.0267,1219.7
7.0540,1219.7
7.0813,1219.7
7.1087,1219.7
7.1360,1210.4
7.2727,1182.5
7.3001,1182.5
7.3274,1182.5
7.3548,1182.5
7.3821,1182.5
7.4094,1182.5
7.4368,1182.5
7.4641,1182.5
7.4915,1182.5
7.5188,1173.2
7.8195,1163.9
7.8469,1163.9
7.8742,1163.9
7.9016,1163.9
7.9289,1163.9
7.9563,1163.9
7.9836,1163.9
8.0383,1163.9
8.0656,1173.2
8.0930,1191.8
8.1203,1191.8
8.1476,1191.8
8.1750,1173.2
8.2023,1154.6
8.2297,1145.3
8.2570,1145.3
8.2843,1135.9
8.3117,1135.9
8.3390,1135.9
8.3664,1135.9
8.5304,1145.3
8.5578,1154.6
8.5851,1154.6
8.6124,1154.6
8.6398,1154.6
8.6671,1145.3
8.8038,1191.8
8.8312,1201.1
8.8585,1201.1
8.8859,1201.1
8.9952,1294.2
9.0226,1294.2
9.0499,1294.2
9.0772,1275.6
9.9795,1108.0
10.0068,1108.0
10.0342,1108.0
10.0615,1108.0
10.0889,1108.0
10.1162,1098.7
10.1435,1098.7
10.1709,1098.7
10.1982,1098.7
10.2256,1098.7
10.2529,1098.7
10.3623,1098.7
10.3896,1089.4
10.4716,1080.1
10.4990,1089.4
10.5263,1089.4
10.5537,1089.4
10.5810,1080.1
10.6630,1070.8
10.6904,1070.8
10.7177,1080.1
10.7450,1080.1
10.7724,1070.8
10.7997,1070.8
10.8271,1061.5
10.9091,1080.1
10.9364,1089.4
10.9638,1089.4
10.9911,1098.7
11.2098,1117.3
11.2372,1126.6
11.2645,1135.9
11.2919,1135.9
11.3192,1145.3
11.3465,1145.3
11.3739,1182.5
11.4012,1191.8
11.4286,1201.1
12.3035,1219.7
12.3308,1238.4
12.3582,1247.7
12.3855,1247.7
12.4129,1247.7
12.4402,1247.7
12.7956,2392.9
12.8230,2392.9
13.0417,1117.3
13.0690,1117.3
13.0964,1117.3
13.1237,1117.3
13.1511,1117.3
14.4087,1135.9
14.4361,1145.3
14.4634,1145.3
14.4908,1145.3
14.5181,1135.9
14.8462,1070.8
14.8735,1070.8
14.9009,1070.8
14.9282,1061.5
14.9556,1052.1
15.0923,1080.1
15.1196,1089.4
15.1470,1098.7
15.1743,1098.7
15.7758,1014.9
15.8031,1024.2
15.8305,1033.5
15.8578,1033.5
15.8852,1042.8
15.9125,1052.1
15.9398,1052.1
16.9515,1024.2
16.9788,1024.2
17.0062,1033.5
17.0335,1033.5
17.0608,1024.2
17.0882,1014.9
17.1155,1005.6
18.1545,1126.6
18.1818,1126.6
18.2092,1126.6
18.2365,1126.6
18.8653,-9.3
19.3848,1108.0
19.4122,1108.0
20.4238,1843.6
21.6268,1238.4
21.6541,1238.4
22.5564,1024.2
22.5837,1024.2
22.6111,1033.5
22.6384,1033.5
24.7984,1284.9
24.9077,1415.3
24.9351,1415.3
25.0991,1648.0
25.1265,1657.4
25.4272,1890.1
25.4545,1890.1
25.6733,2374.3
25.7006,2355.7
25.7280,2337.1
25.9467,1964.6
25.9740,1964.6
26.0014,1964.6
