2theta_deg,Intensity_counts
1.2303,4692.7
1.2577,4692.7
1.2850,4692.7
1.3124,4692.7
1.3397,4692.7
1.3671,4692.7
1.3944,4692.7
1.4217,4692.7
1.4491,4692.7
1.4764,4692.7
1.5038,4692.7
1.5311,4692.7
1.5584,4692.7
1.5858,4692.7
1.6131,4692.7
1.6405,530.7
1.6678,502.8
1.6951,493.5
1.7225,474.9
1.7498,474.9
1.7772,456.2
1.8045,437.6
1.8319,437.6
1.8592,428.3
1.8865,419.0
1.9139,409.7
1.9412,400.4
1.9686,400.4
1.9959,391.1
2.0232,391.1
2.0506,381.8
2.0779,372.4
2.1053,363.1
2.1326,353.8
2.1599,353.8
2.1873,353.8
2.2146,344.5
2.2420,344.5
2.2693,344.5
2.2967,335.2
2.3240,335.2
2.3513,335.2
2.3787,335.2
2.4060,335.2
2.4334,325.9
2.4607,325.9
2.4880,325.9
2.5154,316.6
2.5427,316.6
2.5701,316.6
2.5974,325.9
2.6247,325.9
2.6521,325.9
2.6794,325.9
2.7068,316.6
2.7341,316.6
2.7614,316.6
2.7888,316.6
2.8161,335.2
2.8435,344.5
2.8708,344.5
2.8982,344.5
2.9255,344.5
2.9528,335.2
2.9802,325.9
3.0075,325.9
3.0349,325.9
3.0622,325.9
3.0895,316.6
3.1169,316.6
3.1442,307.3
3.1716,307.3
3.1989,307.3
3.2262,307.3
3.2536,307.3
3.2809,307.3
3.3083,307.3
3.3356,316.6
3.3630,316.6
3.3903,325.9
3.4176,325.9
3.4450,325.9
3.4723,316.6
3.4997,316.6
3.5270,316.6
3.5543,325.9
3.5817,335.2
3.6090,335.2
3.6364,344.5
3.6637,353.8
3.6910,363.1
3.7184,363.1
3.7457,372.4
3.7731,419.0
3.8004,437.6
3.8278,456.2
3.8824,568.0
3.9371,707.6
3.9645,772.8
3.9918,838.0
4.0191,819.4
4.0465,577.3
4.0738,409.7
4.1012,307.3
4.1285,298.0
4.1558,288.6
4.1832,288.6
4.2105,288.6
4.2379,288.6
4.2652,288.6
4.2925,279.3
4.3199,279.3
4.3472,279.3
4.3746,279.3
4.4019,279.3
4.4293,279.3
4.4566,279.3
4.4839,279.3
4.5113,279.3
4.5386,270.0
4.5660,270.0
4.5933,270.0
4.6206,270.0
4.6480,279.3
4.6753,279.3
4.7027,279.3
4.7300,279.3
4.7573,270.0
4.7847,270.0
4.8120,260.7
4.8394,260.7
4.8667,251.4
4.8941,251.4
4.9214,251.4
4.9487,251.4
4.9761,251.4
5.0034,251.4
5.0308,260.7
5.0581,260.7
5.0854,251.4
5.1128,251.4
5.1401,251.4
5.1675,251.4
5.1948,260.7
5.2221,260.7
5.2495,260.7
5.2768,260.7
5.3042,260.7
5.3315,260.7
5.3589,260.7
5.3862,260.7
5.4135,260.7
5.4409,260.7
5.4682,260.7
5.4956,260.7
5.5229,251.4
5.5502,260.7
5.5776,260.7
5.6049,260.7
5.6323,260.7
5.6596,242.1
5.6869,232.8
5.7143,242.1
5.7416,242.1
5.7690,242.1
5.7963,242.1
5.8237,251.4
5.8510,251.4
5.8783,251.4
5.9057,251.4
5.9330,251.4
5.9604,251.4
5.9877,251.4
6.0150,251.4
