Peak_No,2theta_deg,Intensity_counts,Prominence_threshold
1,3.992,838.0,50.0
2,8.831,1936.7,50.0
3,9.241,2951.6,50.0
4,10.308,949.7,50.0
5,10.991,353.8,50.0
6,12.522,996.3,50.0
7,12.987,1582.9,50.0
8,14.436,1769.1,50.0
9,16.733,1126.6,50.0
10,17.061,1210.4,50.0
11,17.826,1722.5,50.0
12,18.100,810.1,50.0
13,18.975,2020.5,50.0
14,19.385,828.7,50.0
15,20.178,3929.2,50.0
16,21.135,642.5,50.0
17,22.146,419.0,50.0
18,22.529,465.5,50.0
19,23.349,1173.2,50.0
20,23.869,1014.9,50.0
21,24.853,1061.5,50.0
22,25.947,847.3,50.0
23,28.079,1098.7,50.0
24,28.681,838.0,50.0
25,32.180,325.9,50.0
26,33.028,465.5,50.0
27,34.012,409.7,50.0
