2theta_deg,Intensity_counts
3.1442,3910.6
4.5933,3873.4
4.6206,3882.7
4.6480,4674.1
4.6753,4683.4
4.7027,4683.4
4.7300,4683.4
4.7573,4683.4
4.7847,4683.4
4.8120,4683.4
4.8394,4683.4
4.8667,4683.4
4.8941,4683.4
4.9214,4683.4
4.9487,4683.4
4.9761,4683.4
5.0034,4683.4
5.0308,4683.4
5.0581,4683.4
5.0854,4683.4
5.1128,4683.4
5.1401,4683.4
5.1675,4683.4
5.1948,4683.4
5.2221,4683.4
5.2495,4683.4
5.2768,4683.4
5.3042,4683.4
5.3315,4683.4
5.3589,4683.4
5.3862,4683.4
5.4135,4683.4
5.4409,4683.4
5.4682,4683.4
5.4956,4683.4
5.5229,4683.4
5.5502,4683.4
5.5776,4683.4
5.6049,4683.4
5.6323,4683.4
5.6596,4683.4
5.6869,4683.4
5.7143,4683.4
5.7416,4683.4
5.7690,4683.4
5.7963,4683.4
5.8237,4683.4
5.8510,4683.4
5.8783,4683.4
5.9057,4683.4
5.9330,4683.4
5.9604,4683.4
5.9877,4683.4
6.0150,4683.4
6.0424,4683.4
6.0697,4683.4
6.0971,4683.4
6.1244,4683.4
6.1517,4683.4
6.1791,4683.4
6.2064,4683.4
6.2338,4683.4
6.2611,4683.4
6.2884,4683.4
6.3158,4683.4
6.3431,4683.4
6.3705,4683.4
6.3978,4683.4
6.4252,4683.4
6.4525,4683.4
6.4798,4683.4
6.5072,4683.4
6.5345,4683.4
6.5619,4683.4
6.5892,4683.4
6.6165,4683.4
6.6439,4683.4
6.6712,4683.4
6.6986,4683.4
6.7259,4683.4
6.7532,4683.4
6.7806,4683.4
6.8079,4683.4
6.8353,4683.4
6.8626,4683.4
6.8900,4683.4
6.9173,4683.4
6.9446,4683.4
6.9720,4683.4
6.9993,4683.4
7.0267,4683.4
7.0540,4683.4
7.0813,4683.4
7.1087,4683.4
7.1360,4683.4
7.1634,4683.4
7.1907,4683.4
7.2180,4683.4
7.2454,4683.4
7.2727,4683.4
7.3001,4683.4
7.3274,4683.4
7.3548,4683.4
7.3821,4683.4
7.4094,4683.4
7.4368,4683.4
7.4641,4683.4
7.4915,4683.4
7.5188,4683.4
7.5461,4683.4
7.5735,4683.4
7.6008,4683.4
7.6282,4683.4
7.6555,4683.4
7.6828,4683.4
7.7102,4683.4
7.7375,4683.4
7.7649,4683.4
7.7922,4683.4
7.8195,4683.4
7.8469,4683.4
7.8742,4683.4
7.9016,4683.4
7.9289,4683.4
7.9563,4683.4
7.9836,4683.4
8.0109,4683.4
8.0383,4683.4
8.0656,4683.4
8.0930,4683.4
8.1203,4683.4
8.1476,4683.4
8.1750,4683.4
8.2023,4683.4
8.2297,4683.4
8.2570,4683.4
8.2843,4683.4
8.3117,4683.4
8.3390,4683.4
8.3664,4683.4
8.3937,4683.4
8.4211,4683.4
8.4484,4683.4
8.4757,4683.4
8.5031,4683.4
8.5304,4683.4
8.5578,4683.4
8.5851,4683.4
8.6124,4683.4
8.6398,4683.4
8.6671,4683.4
8.6945,4683.4
8.7218,4683.4
8.7491,4683.4
8.7765,4683.4
8.8038,4683.4
8.8312,4683.4
8.8585,4683.4
8.8859,4683.4
8.9132,4683.4
8.9405,4683.4
8.9679,4683.4
8.9952,4683.4
9.0226,4683.4
9.0499,4683.4
9.0772,4683.4
9.1046,4683.4
9.1319,4683.4
9.1593,4683.4
9.1866,4683.4
9.2139,4683.4
9.2413,4683.4
9.2686,4683.4
9.2960,4683.4
9.3233,4683.4
9.3506,4683.4
9.3780,4683.4
9.4053,4683.4
9.4327,4683.4
9.4600,4683.4
9.4874,4683.4
9.5147,4683.4
9.5420,4683.4
9.5694,4683.4
9.5967,4683.4
9.6241,4683.4
9.6514,4683.4
9.6787,4683.4
9.7061,4683.4
9.7334,4683.4
9.7608,4683.4
9.7881,4683.4
9.8154,4683.4
9.8428,4683.4
9.8701,4683.4
9.8975,4683.4
9.9248,4683.4
9.9522,4683.4
9.9795,4683.4
10.0068,4683.4
10.0342,4683.4
10.0615,4683.4
10.0889,4683.4
10.1162,4683.4
10.1435,4683.4
10.1709,4683.4
10.1982,4683.4
10.2256,4683.4
10.2529,4683.4
10.2802,4683.4
10.3076,4683.4
10.3349,4683.4
10.3623,4683.4
10.3896,4683.4
10.4170,4683.4
10.4443,4683.4
10.4716,4683.4
10.4990,4683.4
10.5263,4683.4
10.5537,4683.4
10.5810,4683.4
10.6083,4683.4
10.6357,4683.4
10.6630,4683.4
10.6904,4683.4
10.7177,4683.4
10.7450,4683.4
10.7724,4683.4
10.7997,4683.4
10.8271,4683.4
10.8544,4683.4
10.8817,4683.4
10.9091,4683.4
10.9364,4683.4
10.9638,4683.4
10.9911,4683.4
11.0185,4683.4
11.0458,4683.4
11.0731,4683.4
11.1005,4683.4
11.1278,4683.4
11.1552,4683.4
11.1825,4683.4
11.2098,4683.4
11.2372,4683.4
11.2645,4683.4
11.2919,4683.4
11.3192,4683.4
11.3465,4683.4
11.3739,4683.4
11.4012,4683.4
11.4286,4683.4
11.4559,4683.4
