2theta_deg,Intensity_counts
0.5195,4692.7
0.5468,4692.7
0.5742,4692.7
0.7109,4692.7
0.7382,4692.7
0.7656,4692.7
0.7929,4525.1
0.8202,4366.9
0.8476,4245.8
0.8749,4236.5
0.9023,4236.5
0.9296,4236.5
0.9569,4236.5
0.9843,4003.7
1.0116,4022.3
1.0390,4031.7
1.0663,4022.3
1.0936,3994.4
1.1210,3901.3
1.1483,3752.3
1.1757,3752.3
1.2030,3743.0
1.2303,3705.8
1.2577,3668.5
1.2850,3659.2
1.3124,3659.2
1.3397,3584.7
1.3671,3240.2
1.3944,3286.8
1.4217,3286.8
1.4491,3286.8
1.4764,3184.4
1.5038,3119.2
1.5311,3100.6
1.5584,3091.2
1.5858,2988.8
1.6131,2970.2
1.6405,2960.9
1.6678,2914.3
1.6951,2960.9
1.7225,2960.9
1.7498,2951.6
1.7772,2867.8
1.8045,2858.5
1.8319,2802.6
1.8592,2774.7
1.8865,2728.1
1.9139,2700.2
1.9412,2662.9
1.9686,2560.5
1.9959,2504.7
2.0232,2486.0
2.0506,2495.3
2.0779,2569.8
2.1053,2579.1
2.1326,2569.8
2.1599,2551.2
2.1873,2541.9
2.2146,2486.0
2.2420,2392.9
2.2693,2392.9
2.2967,2402.2
2.3240,2402.2
2.3513,2355.7
2.3787,2299.8
2.4060,2262.6
2.4334,2262.6
2.4607,2290.5
2.4880,2299.8
2.5154,2299.8
2.5427,2299.8
2.5701,2309.1
2.5974,2290.5
2.6247,2225.3
2.6521,2132.2
2.6794,2132.2
2.7068,2132.2
2.7341,2057.7
2.7614,2057.7
2.7888,2048.4
2.8161,2039.1
2.8435,2011.2
2.8708,2048.4
2.8982,2057.7
2.9255,2085.7
2.9528,2095.0
2.9802,2011.2
3.0075,1918.1
3.0349,1908.8
3.0622,1918.1
3.0895,1908.8
3.1169,1899.4
3.1442,1890.1
3.1716,1871.5
3.1989,1806.3
3.2262,1797.0
3.2536,1797.0
3.2809,1759.8
3.3083,1741.2
3.3356,1731.8
3.3630,1731.8
3.3903,1703.9
3.4176,1703.9
3.4450,1713.2
3.4723,1703.9
3.4997,1685.3
3.5270,1629.4
3.5543,1638.7
3.5817,1657.4
3.6090,1657.4
3.6364,1703.9
3.6637,1722.5
3.6910,1731.8
3.7184,1694.6
3.7457,1666.7
3.7731,1657.4
3.8004,1620.1
3.8278,1610.8
3.8551,1601.5
3.8824,1582.9
3.9098,1527.0
3.9371,1517.7
3.9645,1517.7
3.9918,1517.7
4.0191,1517.7
4.0465,1508.4
4.0738,1471.1
4.1012,1452.5
4.1285,1452.5
4.1558,1443.2
4.1832,1443.2
4.2105,1443.2
4.2379,1471.1
4.2652,1461.8
4.2925,1387.3
4.3199,1378.0
4.3472,1415.3
4.3746,1443.2
4.4019,1452.5
4.4293,1443.2
4.4566,1415.3
4.4839,1415.3
4.5113,1415.3
4.5386,1406.0
4.5660,1340.8
4.5933,1275.6
4.6206,1266.3
4.6480,1219.7
4.6753,1210.4
4.7027,1210.4
4.7300,1219.7
4.7573,1238.4
4.7847,1275.6
4.8120,1266.3
4.8394,1257.0
4.8667,1229.1
4.8941,1201.1
4.9214,1210.4
4.9487,1219.7
4.9761,1275.6
5.0034,1266.3
5.0308,1257.0
5.0581,1247.7
5.0854,1210.4
5.1128,1163.9
5.1401,1145.3
5.1675,1275.6
5.1948,1275.6
5.2221,1247.7
5.2495,1219.7
5.2768,1182.5
5.3042,1154.6
5.3315,1145.3
5.3589,1098.7
5.3862,1080.1
5.4135,1108.0
5.4409,1154.6
5.4682,1173.2
5.4956,1173.2
5.5229,1154.6
5.5502,1108.0
5.5776,1080.1
5.6049,1080.1
5.6323,1098.7
5.6596,1108.0
5.6869,1108.0
5.7143,1080.1
5.7416,1024.2
5.7690,996.3
5.7963,996.3
5.8237,996.3
5.8510,977.7
5.8783,977.7
5.9057,977.7
5.9330,977.7
5.9604,959.0
5.9877,968.3
6.0150,968.3
6.0424,959.0
6.0697,940.4
6.0971,931.1
6.1244,931.1
6.1517,949.7
6.1791,949.7
6.2064,912.5
6.2338,903.2
6.2611,884.5
6.2884,903.2
6.3158,949.7
6.3431,968.3
6.3705,977.7
6.3978,968.3
6.4252,931.1
6.4525,931.1
6.4798,940.4
6.5072,949.7
6.5345,959.0
6.5619,949.7
6.5892,959.0
6.6165,1033.5
6.6439,1052.1
6.6712,1052.1
6.6986,1042.8
6.7259,1014.9
6.7532,987.0
6.7806,968.3
6.8079,959.0
6.8353,968.3
6.8626,968.3
6.8900,959.0
6.9173,987.0
6.9446,1089.4
6.9720,1117.3
6.9993,1145.3
7.0267,1210.4
7.0540,1303.5
7.0813,1322.2
7.1087,1713.2
7.1360,2318.4
7.1634,2337.1
7.1907,3519.6
7.2180,4162.0
7.2454,4478.6
7.2727,4478.6
7.3001,4469.3
7.3274,4143.4
7.3548,2793.3
7.3821,2169.5
7.4094,1825.0
7.4368,1815.6
7.4641,1545.6
7.4915,1312.8
7.5188,1154.6
7.5461,1014.9
7.5735,940.4
7.6008,921.8
7.6282,893.9
7.6555,875.2
7.6828,856.6
7.7102,856.6
7.7375,856.6
7.7649,865.9
7.7922,847.3
7.8195,772.8
7.8469,744.9
7.8742,735.6
7.9016,726.3
7.9289,726.3
7.9563,716.9
7.9836,707.6
8.0109,716.9
8.0383,707.6
8.0656,698.3
8.0930,670.4
8.1203,735.6
8.1476,744.9
8.1750,782.1
8.2023,782.1
8.2297,707.6
8.2570,679.7
8.2843,679.7
8.3117,679.7
8.3390,679.7
8.3664,679.7
8.3937,679.7
8.4211,670.4
8.4484,670.4
8.4757,670.4
8.5031,670.4
8.5304,642.5
8.5578,651.8
8.5851,651.8
8.6124,651.8
8.6398,623.8
8.6671,633.1
8.6945,642.5
8.7218,651.8
8.7491,651.8
8.7765,651.8
8.8038,642.5
8.8312,642.5
8.8585,623.8
8.8859,595.9
8.9132,595.9
8.9405,623.8
8.9679,633.1
8.9952,642.5
9.0226,642.5
9.0499,642.5
9.0772,633.1
9.1046,577.3
9.1319,577.3
9.1593,586.6
9.1866,633.1
9.2139,642.5
9.2413,651.8
9.2686,651.8
9.2960,642.5
9.3233,651.8
9.3506,689.0
9.3780,754.2
9.4053,800.7
9.4327,810.1
9.4600,819.4
9.4874,959.0
9.5147,1480.4
9.5420,1806.3
9.5694,2076.4
9.5967,2392.9
9.6241,2392.9
