Peak_No,2theta_deg,Intensity_counts,Prominence_threshold
1,5.960,1527.0,50.0
2,9.023,875.2,50.0
3,9.569,782.1,50.0
4,10.827,698.3,50.0
5,12.331,493.5,50.0
6,15.694,1182.5,50.0
7,18.455,1182.5,50.0
8,19.002,279.3,50.0
9,20.178,800.7,50.0
10,20.506,716.9,50.0
11,21.025,4180.6,50.0
12,21.709,577.3,50.0
13,22.064,577.3,50.0
14,22.693,2942.3,50.0
15,25.072,353.8,50.0
16,25.345,270.0,50.0
17,26.165,130.4,50.0
18,27.478,1229.1,50.0
19,28.927,1499.1,50.0
20,30.923,195.5,50.0
21,34.204,186.2,50.0
22,35.352,149.0,50.0
