2theta_deg,Intensity_counts
0.5195,1676.0
0.5468,1676.0
0.5742,1666.7
0.6015,1666.7
0.6288,1676.0
0.6562,1713.2
0.6835,1759.8
0.7109,1769.1
0.7382,1759.8
0.7656,1703.9
0.7929,1694.6
0.8202,1694.6
0.8476,1694.6
0.8749,1685.3
0.9023,1685.3
0.9296,1648.0
0.9569,1638.7
0.9843,1629.4
1.0116,1620.1
1.0390,1601.5
1.0663,1592.2
1.0936,1592.2
1.1210,1592.2
1.1483,1592.2
1.1757,1620.1
1.2030,1620.1
1.2303,1620.1
1.2577,1620.1
1.2850,1610.8
1.3124,1601.5
1.3397,1573.6
1.3671,1564.2
1.3944,1564.2
1.4217,1564.2
1.4491,1564.2
1.4764,1536.3
1.5038,1527.0
1.5311,1527.0
1.5584,1527.0
1.5858,1527.0
1.6131,1527.0
1.6405,1517.7
1.6678,1508.4
1.6951,1489.8
1.7225,1480.4
1.7498,1480.4
1.7772,1480.4
1.8045,1480.4
1.8319,1489.8
1.8592,1499.1
1.8865,1508.4
1.9139,1508.4
1.9412,1499.1
1.9686,1461.8
1.9959,1452.5
2.0232,1452.5
2.0506,1461.8
2.0779,1461.8
2.1053,1461.8
2.1326,1461.8
2.1599,1340.8
2.1873,1294.2
2.2146,1294.2
2.2420,1294.2
2.2693,1424.6
2.2967,1424.6
2.3240,1415.3
2.3513,1368.7
2.3787,1340.8
2.4060,1340.8
2.4334,1340.8
2.4607,1340.8
2.4880,1340.8
2.5154,1331.5
2.5427,1331.5
2.5701,1331.5
2.5974,1331.5
2.6247,1303.5
2.6521,1294.2
2.6794,1294.2
2.7068,1359.4
2.7341,1359.4
2.7614,1359.4
2.7888,1238.4
2.8161,1238.4
2.8435,1238.4
2.8708,1257.0
2.8982,1275.6
2.9255,1266.3
2.9528,1257.0
2.9802,1229.1
3.0075,1229.1
3.0349,1219.7
3.0622,1275.6
3.0895,1284.9
3.1169,1284.9
3.1442,1257.0
3.1716,1247.7
3.1989,1145.3
3.2262,1145.3
3.2536,1145.3
3.2809,1191.8
3.3083,1229.1
3.3356,1229.1
3.3630,1229.1
3.3903,1173.2
3.4176,1163.9
3.4450,1145.3
3.4723,1126.6
3.4997,1126.6
3.5270,1145.3
3.5543,1182.5
3.5817,1210.4
3.6090,1210.4
3.6364,1219.7
3.6637,1294.2
3.6910,1294.2
3.7184,1294.2
3.7457,1201.1
3.7731,1191.8
3.8004,1173.2
3.8278,1126.6
3.8551,1117.3
3.8824,1117.3
3.9098,1108.0
3.9371,1098.7
3.9645,1089.4
3.9918,1089.4
4.0191,1089.4
4.0465,1089.4
4.0738,1089.4
4.1012,1089.4
4.1285,1080.1
4.1558,1070.8
4.1832,1080.1
4.2105,1080.1
4.2379,1080.1
4.2652,1024.2
4.2925,1014.9
4.3199,1014.9
4.3472,1014.9
4.3746,1014.9
4.4019,1014.9
4.4293,1024.2
4.4566,1070.8
4.4839,1089.4
4.5113,1108.0
4.5386,1108.0
4.5660,1108.0
4.5933,1052.1
4.6206,1024.2
4.6480,1024.2
4.6753,1005.6
4.7027,996.3
4.7300,987.0
4.7573,987.0
4.7847,977.7
4.8120,968.3
4.8394,959.0
4.8667,949.7
4.8941,959.0
4.9214,968.3
4.9487,968.3
4.9761,968.3
5.0034,949.7
5.0308,940.4
5.0581,959.0
5.0854,996.3
5.1128,996.3
5.1401,987.0
5.1675,968.3
5.1948,940.4
5.2221,921.8
5.2495,931.1
5.2768,940.4
5.3042,959.0
5.3315,959.0
5.3589,959.0
5.3862,931.1
5.4135,921.8
5.4409,931.1
5.4682,940.4
5.4956,931.1
5.5229,865.9
5.5502,856.6
5.5776,856.6
5.6049,847.3
5.6323,847.3
5.6596,838.0
5.6869,828.7
5.7143,828.7
5.7416,828.7
5.7690,828.7
5.7963,838.0
5.8237,931.1
5.8510,931.1
5.8783,931.1
5.9057,912.5
5.9330,893.9
5.9604,893.9
5.9877,931.1
6.0150,940.4
6.0424,940.4
6.0697,940.4
6.0971,931.1
6.1244,931.1
6.1517,940.4
6.1791,959.0
6.2064,968.3
6.2338,977.7
6.2611,1024.2
6.2884,1173.2
