2theta_deg,Intensity_counts
0.5195,242.1
0.5468,1666.7
0.5742,1685.3
0.6015,3212.3
0.6288,4692.7
0.6562,4692.7
0.6835,4674.1
0.7109,4674.1
0.7382,1713.2
0.7656,1713.2
0.7929,1713.2
0.8202,3249.5
0.8476,4674.1
0.8749,4683.4
0.9023,4692.7
0.9296,4692.7
0.9569,3193.7
1.0116,102.4
1.0390,3184.4
1.0663,3184.4
1.0936,3184.4
1.1210,3184.4
1.1483,3184.4
1.1757,3184.4
1.2030,3184.4
1.2303,3184.4
1.2577,4692.7
1.2850,4692.7
1.3124,4692.7
1.3397,4692.7
1.3671,3603.4
1.3944,3594.0
1.4217,3193.7
1.4491,2728.1
1.4764,2383.6
1.5038,2160.1
1.5311,2113.6
1.5584,1983.2
1.5858,1983.2
1.6131,1973.9
1.6405,1964.6
1.6678,1862.2
1.6951,1862.2
1.7225,1852.9
1.7498,1834.3
1.7772,1722.5
1.8045,1713.2
1.8319,1703.9
1.8592,1685.3
1.8865,1703.9
1.9139,1750.5
1.9412,1750.5
1.9686,1759.8
1.9959,1759.8
2.0232,1759.8
2.0506,1759.8
2.0779,1759.8
2.1053,1778.4
2.1326,1806.3
2.1599,1806.3
2.1873,1778.4
2.2146,1722.5
2.2420,1713.2
2.2693,1703.9
2.2967,1666.7
2.3240,1666.7
2.3513,1666.7
2.3787,1666.7
2.4060,1722.5
2.4334,1722.5
2.4607,1722.5
2.4880,1713.2
2.5154,1722.5
2.5427,1722.5
2.5701,1731.8
2.5974,1722.5
2.6247,1657.4
2.6521,1629.4
2.6794,1620.1
2.7068,1629.4
2.7341,1629.4
2.7614,1629.4
2.7888,1666.7
2.8161,1694.6
2.8435,1694.6
2.8708,1694.6
2.8982,1694.6
2.9255,1694.6
2.9528,1694.6
2.9802,1703.9
3.0075,1759.8
3.0349,1759.8
3.0622,1750.5
3.0895,1629.4
3.1169,1629.4
3.1442,1620.1
3.1716,1592.2
3.1989,1564.2
3.2262,1554.9
3.2536,1554.9
3.2809,1564.2
3.3083,1694.6
3.3356,1694.6
3.3630,1685.3
3.3903,1620.1
3.4176,1620.1
3.4450,1629.4
3.4723,1620.1
3.4997,1601.5
3.5270,1592.2
3.5543,1592.2
3.5817,1592.2
3.6090,1564.2
3.6364,1554.9
3.6637,1554.9
3.6910,1554.9
3.7184,1554.9
3.7457,1564.2
3.7731,1610.8
3.8004,1620.1
3.8278,1601.5
3.8551,1582.9
3.8824,1601.5
3.9098,1610.8
3.9371,1610.8
3.9645,1610.8
3.9918,1527.0
4.0191,1527.0
4.0465,1517.7
4.0738,1517.7
4.1012,1508.4
4.1285,1499.1
4.1558,1499.1
4.1832,1499.1
4.2105,1499.1
4.2379,1527.0
4.2652,1536.3
4.2925,1527.0
4.3199,1527.0
4.3472,1480.4
4.3746,1452.5
4.4019,1415.3
4.4293,1415.3
4.4566,1406.0
4.4839,1415.3
4.5113,1415.3
4.5386,1415.3
4.5660,1471.1
4.5933,1499.1
4.6206,1499.1
4.6480,1489.8
4.6753,1433.9
4.7027,1424.6
4.7300,1415.3
4.7573,1415.3
4.7847,1415.3
4.8120,1415.3
4.8394,1424.6
4.8667,1443.2
4.8941,1461.8
4.9214,1471.1
4.9487,1508.4
4.9761,1517.7
5.0034,1685.3
5.0308,1769.1
5.0581,2001.9
5.0854,2039.1
5.1128,2039.1
5.1401,2039.1
5.1675,1778.4
5.1948,1471.1
5.2221,1415.3
5.2495,1406.0
5.2768,1350.1
5.3042,1350.1
5.3315,1350.1
5.3589,1350.1
5.3862,1350.1
5.4135,1340.8
5.4409,1331.5
5.4682,1312.8
5.4956,1340.8
5.5229,1350.1
5.5502,1340.8
5.5776,1331.5
5.6049,1322.2
5.6323,1275.6
5.6596,1266.3
5.6869,1257.0
5.7143,1247.7
5.7416,1238.4
5.7690,1201.1
5.7963,1191.8
5.8237,1191.8
5.8510,1191.8
5.8783,1191.8
5.9057,1201.1
5.9330,1210.4
5.9604,1201.1
5.9877,1201.1
6.0150,1201.1
