Peak_No,2theta_deg,Intensity_counts,Prominence_threshold
1,0.711,4460.0,50.0
2,2.843,2905.0,50.0
3,5.386,55.9,50.0
4,7.601,1638.7,50.0
5,8.530,102.4,50.0
6,9.351,4534.5,50.0
7,10.882,232.8,50.0
8,11.620,270.0,50.0
9,12.495,2662.9,50.0
10,14.819,446.9,50.0
11,21.408,242.1,50.0
12,25.455,996.3,50.0
13,25.947,4227.2,50.0
14,26.876,1163.9,50.0
15,28.927,3854.7,50.0
16,29.747,335.2,50.0
17,30.868,223.5,50.0
18,32.809,270.0,50.0
19,33.548,540.0,50.0
20,33.958,1126.6,50.0
21,35.954,782.1,50.0
22,38.031,74.5,50.0
