2theta_deg,Intensity_counts
0.5195,1219.7
0.5468,1219.7
0.5742,1219.7
0.6015,1219.7
0.6288,1219.7
0.6562,1219.7
0.6835,1219.7
0.7109,3230.9
0.7382,3230.9
0.7656,3230.9
0.7929,3230.9
0.8202,3230.9
0.8476,3240.2
0.8749,4031.7
0.9023,4450.7
0.9296,4450.7
0.9843,4674.1
1.0116,4674.1
1.0390,4674.1
1.1757,4674.1
1.2030,4674.1
3.6090,288.6
3.6364,307.3
3.6637,484.2
3.6910,931.1
3.7184,1703.9
3.7457,1703.9
3.7731,3975.8
3.8004,4003.7
3.8278,4003.7
3.8551,3873.4
3.8824,3389.2
3.9098,856.6
3.9371,847.3
9.2139,46.6
9.2686,428.3
9.2960,446.9
9.3233,437.6
9.3506,1089.4
9.3780,2271.9
9.4053,3584.7
9.4327,4394.8
9.4600,4497.2
9.4874,4366.9
9.5147,3994.4
9.5420,2430.2
9.5694,1601.5
9.5967,977.7
9.6514,93.1
12.1394,474.9
12.1668,716.9
12.1941,707.6
12.2215,679.7
12.2488,530.7
12.2761,307.3
15.0923,111.7
15.1196,121.0
15.1470,130.4
15.1743,93.1
15.2016,65.2
20.3144,-9.3
20.3418,9.3
20.3691,9.3
20.3964,18.6
20.4238,9.3
20.4511,0.0
22.2283,0.0
22.2556,18.6
22.3103,130.4
22.3923,577.3
22.4197,595.9
22.4470,586.6
22.4744,493.5
22.5017,381.8
22.5290,195.5
22.5564,167.6
23.4860,176.9
23.5133,176.9
23.5407,176.9
23.5680,176.9
23.5954,158.3
23.6227,55.9
23.6500,46.6
23.6774,37.2
23.7047,37.2
23.7321,27.9
23.8141,335.2
23.8414,335.2
23.8688,335.2
23.8961,288.6
25.3725,-9.3
25.3999,-9.3
26.2748,9.3
26.3021,27.9
26.3568,204.8
26.3841,251.4
26.4115,251.4
26.4388,251.4
26.4662,242.1
26.5208,102.4
26.5482,93.1
36.4730,4674.1
36.5003,4674.1
36.5277,4674.1
36.5550,4664.8
