2theta_deg,Intensity_counts
0.5195,223.5
0.5468,223.5
0.5742,232.8
0.6015,251.4
0.6288,251.4
0.6562,251.4
0.6835,242.1
0.7109,251.4
0.7382,251.4
0.7656,251.4
0.7929,214.2
0.8202,195.5
0.8476,214.2
0.8749,251.4
0.9023,251.4
0.9296,260.7
0.9569,251.4
0.9843,232.8
1.0116,223.5
1.0390,223.5
1.0663,223.5
1.0936,232.8
1.1210,232.8
1.1483,223.5
1.1757,223.5
1.2030,223.5
1.2303,223.5
1.2577,214.2
1.2850,204.8
1.3124,195.5
1.3397,195.5
1.3671,195.5
1.3944,195.5
1.4217,195.5
1.4491,195.5
1.4764,195.5
1.5038,195.5
1.5311,176.9
1.5584,176.9
1.5858,176.9
1.6131,176.9
1.6405,176.9
1.6678,176.9
1.6951,167.6
1.7225,158.3
1.7498,158.3
1.7772,158.3
1.8045,158.3
1.8319,158.3
1.8592,158.3
1.8865,158.3
1.9139,158.3
1.9412,158.3
1.9686,158.3
1.9959,158.3
2.0232,158.3
2.0506,149.0
2.0779,149.0
2.1053,149.0
2.1326,149.0
2.1599,158.3
2.1873,158.3
2.2146,149.0
2.2420,121.0
2.2693,102.4
2.2967,93.1
2.3240,93.1
2.3513,93.1
2.3787,93.1
2.4060,93.1
2.4334,139.7
2.4607,139.7
2.4880,130.4
2.5154,121.0
2.5427,102.4
2.5701,93.1
2.5974,93.1
2.6247,93.1
2.6521,102.4
2.6794,102.4
2.7068,111.7
2.7341,102.4
2.7614,102.4
2.7888,83.8
2.8161,55.9
2.8435,46.6
2.8708,46.6
2.8982,46.6
2.9255,55.9
2.9528,55.9
2.9802,55.9
3.0075,55.9
3.0349,46.6
3.0622,46.6
3.0895,46.6
3.1169,55.9
3.1442,55.9
3.1716,37.2
3.1989,0.0
3.2262,0.0
3.2536,0.0
3.2809,0.0
3.3083,9.3
3.3356,9.3
3.3630,9.3
3.3903,0.0
3.4176,-9.3
3.4450,-9.3
3.4723,-9.3
8.2023,83.8
8.2297,93.1
8.2570,130.4
8.2843,344.5
8.3117,363.1
8.3390,586.6
8.3664,595.9
8.3937,968.3
8.4211,1163.9
8.4484,1163.9
8.4757,1163.9
8.5031,1154.6
8.5304,903.2
8.5578,251.4
8.5851,186.2
8.6124,-9.3
9.4327,-9.3
9.4600,93.1
9.4874,9.3
9.5147,139.7
9.5420,158.3
9.5694,158.3
9.5967,400.4
9.6241,893.9
9.6514,912.5
9.6787,2029.8
9.7061,2039.1
9.7334,3510.2
9.7608,3510.2
9.7881,4124.8
9.8154,4450.7
9.8428,4460.0
9.8701,4404.1
9.8975,4217.9
9.9248,3649.9
9.9522,1955.3
9.9795,1955.3
10.0068,1126.6
10.0342,1108.0
10.0615,633.1
10.0889,633.1
10.1162,633.1
10.1435,633.1
10.1709,623.8
10.1982,586.6
10.2256,251.4
10.2529,260.7
10.2802,251.4
10.3076,121.0
10.3349,111.7
10.3623,307.3
10.3896,307.3
10.4170,595.9
10.4443,726.3
10.4716,735.6
10.4990,735.6
10.5263,642.5
10.5537,623.8
10.5810,325.9
10.6083,325.9
10.6357,27.9
10.6630,18.6
10.7177,46.6
10.7450,167.6
10.7724,186.2
10.7997,204.8
10.8271,204.8
10.8544,121.0
10.8817,130.4
10.9091,130.4
10.9364,18.6
10.9638,0.0
10.9911,158.3
11.0185,391.1
11.0458,400.4
11.0731,446.9
11.1005,446.9
11.1278,446.9
11.1552,288.6
11.1825,279.3
11.2098,37.2
11.2372,27.9
11.7567,27.9
11.7840,474.9
11.8113,484.2
11.8387,484.2
11.8660,1061.5
11.8934,1350.1
11.9207,1676.0
11.9481,1685.3
11.9754,1685.3
12.0027,1685.3
12.0301,1266.3
12.0574,465.5
12.0848,465.5
14.9556,270.0
14.9829,279.3
15.0103,316.6
15.0376,316.6
15.0649,176.9
15.0923,46.6
15.1196,46.6
15.3657,46.6
15.3930,65.2
15.4204,195.5
15.4477,195.5
15.4751,204.8
15.5024,195.5
15.5297,176.9
15.5571,344.5
15.5844,865.9
15.6118,875.2
15.6391,884.5
15.6664,1387.3
15.6938,1545.6
15.7211,1564.2
15.7485,1554.9
15.7758,1406.0
15.8031,1387.3
15.8305,409.7
15.8578,102.4
15.8852,93.1
17.1155,55.9
17.1429,130.4
17.1702,139.7
17.1975,149.0
17.2249,149.0
18.0725,-9.3
18.0998,149.0
18.1271,167.6
18.1545,521.4
18.1818,819.4
18.2092,828.7
18.2365,828.7
18.2638,819.4
18.2912,707.6
18.3185,540.0
18.3459,540.0
18.3732,18.6
18.4552,46.6
18.4826,251.4
18.5099,260.7
18.5373,679.7
18.5646,689.0
18.5919,949.7
18.6193,959.0
18.6466,940.4
18.6740,819.4
18.7013,810.1
18.7286,577.3
18.7560,83.8
18.7833,65.2
19.1661,83.8
19.1934,93.1
19.2208,93.1
19.2481,83.8
19.2755,74.5
19.4395,204.8
19.4668,223.5
19.4942,456.2
19.5215,791.4
19.5489,800.7
19.5762,810.1
19.6036,996.3
19.6309,977.7
19.6582,595.9
19.6856,586.6
19.7129,158.3
19.7403,158.3
19.7676,158.3
19.7949,158.3
19.8223,465.5
19.8496,484.2
