2theta_deg,Intensity_counts
1.6405,-9.3
1.6678,55.9
1.6951,111.7
1.7225,139.7
1.7498,139.7
1.7772,242.1
1.8045,260.7
1.8319,363.1
1.8592,577.3
1.8865,502.8
1.9139,996.3
1.9412,996.3
1.9686,1396.6
1.9959,1899.4
2.0232,1908.8
2.0506,2253.3
2.0779,2253.3
2.1053,2206.7
2.1326,1973.9
2.1599,1461.8
2.1873,754.2
2.2146,763.5
2.2420,232.8
2.2693,214.2
2.2967,121.0
2.3240,93.1
2.3513,83.8
2.3787,74.5
2.4060,55.9
2.4334,37.2
2.4607,27.9
2.4880,18.6
2.5154,18.6
2.5427,-9.3
2.7888,-9.3
2.8161,18.6
2.8435,18.6
2.8708,9.3
2.8982,0.0
2.9255,0.0
2.9528,-9.3
2.9802,0.0
3.0075,0.0
3.0349,0.0
3.0622,9.3
3.0895,9.3
3.1169,0.0
3.1442,0.0
3.1716,0.0
3.1989,9.3
3.2262,18.6
3.2536,37.2
3.2809,83.8
3.3083,93.1
3.3356,93.1
3.3630,93.1
3.3903,102.4
3.4176,111.7
3.4450,111.7
3.4723,167.6
3.4997,176.9
3.5270,195.5
3.5543,214.2
3.5817,232.8
3.6090,242.1
3.6364,242.1
3.6637,223.5
3.6910,214.2
3.7184,204.8
3.7457,195.5
3.7731,195.5
3.8004,195.5
3.8278,214.2
3.8551,214.2
3.8824,204.8
3.9098,214.2
3.9371,251.4
3.9645,260.7
3.9918,270.0
4.0191,242.1
4.0465,214.2
4.0738,139.7
4.1012,139.7
4.1285,139.7
4.1558,139.7
4.1832,139.7
4.2105,139.7
4.2379,158.3
4.2652,167.6
4.2925,186.2
4.3199,195.5
4.3472,204.8
4.3746,214.2
4.4019,223.5
4.4293,232.8
4.4566,232.8
4.4839,214.2
4.5113,204.8
4.5386,195.5
4.5660,195.5
4.5933,195.5
4.6206,195.5
4.6480,204.8
4.6753,204.8
4.7027,158.3
4.7300,149.0
4.7573,149.0
4.7847,139.7
4.8120,139.7
4.8394,139.7
4.8667,130.4
4.8941,130.4
4.9214,130.4
4.9487,121.0
4.9761,130.4
5.0034,130.4
5.0308,130.4
5.0581,130.4
5.0854,130.4
5.1128,139.7
5.1401,158.3
5.1675,158.3
5.1948,167.6
5.2221,167.6
5.2495,176.9
5.2768,195.5
5.3042,204.8
5.3315,214.2
5.3589,223.5
5.3862,288.6
5.4135,288.6
5.4409,400.4
5.4682,409.7
5.4956,419.0
5.5229,540.0
5.5502,568.0
5.5776,577.3
5.6049,744.9
5.6323,828.7
5.6596,903.2
5.6869,912.5
5.7143,912.5
5.7416,893.9
5.7690,735.6
5.7963,726.3
5.8237,540.0
5.8510,391.1
5.8783,298.0
5.9057,279.3
5.9330,204.8
5.9604,186.2
5.9877,149.0
6.0150,111.7
6.0424,111.7
6.0697,111.7
6.0971,111.7
6.1244,102.4
6.1517,93.1
6.1791,93.1
6.2064,83.8
6.2338,74.5
6.2611,83.8
6.2884,93.1
6.3158,93.1
6.3431,102.4
6.3705,111.7
6.3978,121.0
6.4252,139.7
6.4525,139.7
6.4798,121.0
6.5072,121.0
6.5345,139.7
6.5619,149.0
6.5892,158.3
6.6165,186.2
6.6439,195.5
6.6712,214.2
6.6986,232.8
6.7259,232.8
6.7532,344.5
6.7806,353.8
6.8079,372.4
6.8353,428.3
6.8626,446.9
6.8900,493.5
6.9173,502.8
6.9446,521.4
6.9720,540.0
6.9993,549.3
7.0267,558.7
7.0540,633.1
7.0813,707.6
7.1087,744.9
7.1360,810.1
7.1634,1014.9
7.1907,1014.9
7.2180,1443.2
7.2454,1461.8
7.2727,1592.2
7.3001,1992.6
7.3274,2085.7
7.3548,2076.4
7.3821,2802.6
7.4094,3398.5
7.4368,4646.2
7.4641,4655.5
7.4915,4655.5
7.5461,4692.7
7.5735,4692.7
7.6008,4692.7
7.6282,4255.1
7.6555,3826.8
7.6828,3230.9
7.7102,2458.1
7.7375,2253.3
7.7649,1778.4
7.7922,1433.9
7.8195,1415.3
7.8469,884.5
7.8742,847.3
7.9016,595.9
7.9289,456.2
7.9563,446.9
7.9836,372.4
8.0109,344.5
8.0383,298.0
8.0656,288.6
8.0930,270.0
8.1203,251.4
8.1476,232.8
8.1750,186.2
8.2023,167.6
8.2297,158.3
8.2570,158.3
8.2843,158.3
8.3117,195.5
8.3390,195.5
8.3664,195.5
8.3937,149.0
8.4211,139.7
8.4484,139.7
8.4757,139.7
8.5031,139.7
8.5304,139.7
8.5578,121.0
8.5851,93.1
8.6124,93.1
8.6398,93.1
8.6671,130.4
8.6945,130.4
8.7218,102.4
8.7491,93.1
8.7765,83.8
8.8038,74.5
8.8312,74.5
8.8585,83.8
8.8859,93.1
8.9132,93.1
8.9405,102.4
8.9679,102.4
8.9952,111.7
9.0226,111.7
9.0499,111.7
9.0772,121.0
9.1046,130.4
9.1319,149.0
9.1593,149.0
9.1866,130.4
9.2139,111.7
9.2413,102.4
9.2686,111.7
9.2960,121.0
9.3233,121.0
9.3506,121.0
9.3780,121.0
9.4053,121.0
9.4327,130.4
9.4600,130.4
9.4874,158.3
9.5147,176.9
9.5420,167.6
9.5694,176.9
9.5967,186.2
9.6241,195.5
9.6514,204.8
9.6787,223.5
9.7061,251.4
9.7334,260.7
9.7608,260.7
9.7881,251.4
9.8154,214.2
9.8428,204.8
9.8701,195.5
9.8975,186.2
9.9248,176.9
9.9522,186.2
9.9795,186.2
10.0068,204.8
10.0342,232.8
10.0615,232.8
10.0889,232.8
10.1162,232.8
10.1435,242.1
10.1709,298.0
10.1982,316.6
10.2256,335.2
10.2529,353.8
10.2802,391.1
10.3076,400.4
10.3349,400.4
10.3623,409.7
10.3896,409.7
10.4170,419.0
10.4443,428.3
10.4716,437.6
10.4990,568.0
10.5263,595.9
10.5537,651.8
10.5810,670.4
10.6083,679.7
10.6357,707.6
10.6630,791.4
10.6904,819.4
10.7177,838.0
10.7450,865.9
10.7724,875.2
10.7997,875.2
10.8271,838.0
10.8544,800.7
10.8817,800.7
10.9091,810.1
10.9364,810.1
10.9638,800.7
10.9911,791.4
11.0185,707.6
11.0458,670.4
11.0731,595.9
11.1005,577.3
11.1278,530.7
11.1552,530.7
11.1825,586.6
11.2098,605.2
11.2372,716.9
11.2645,726.3
11.2919,735.6
11.3192,772.8
11.3465,763.5
11.3739,661.1
11.4012,633.1
11.4286,623.8
11.4559,586.6
11.4833,493.5
11.5106,465.5
11.5379,335.2
11.5653,344.5
11.5926,344.5
11.6200,335.2
11.6473,288.6
11.6746,279.3
11.7020,270.0
11.7293,260.7
11.7567,251.4
11.7840,242.1
11.8113,242.1
11.8387,242.1
11.8660,242.1
11.8934,242.1
11.9207,251.4
11.9481,270.0
11.9754,288.6
12.0027,335.2
12.0301,335.2
12.0574,344.5
12.0848,363.1
12.1121,372.4
12.1394,446.9
