2theta_deg,Intensity_counts
0.5195,1480.4
0.5468,1471.1
0.5742,1471.1
0.6015,1471.1
0.6288,1461.8
0.6562,1461.8
0.6835,1461.8
0.7109,1461.8
0.7382,1461.8
0.7656,1461.8
0.7929,1461.8
0.8202,1461.8
0.8476,1471.1
0.8749,1471.1
0.9023,1471.1
0.9296,1471.1
0.9569,1471.1
0.9843,1471.1
1.0116,1471.1
1.0390,1480.4
1.0663,1480.4
1.0936,1480.4
1.1210,1480.4
1.1483,1480.4
1.1757,1489.8
1.2030,1489.8
1.2303,1499.1
1.2577,1508.4
1.2850,1508.4
1.3124,1517.7
1.3397,1527.0
1.3671,1536.3
1.3944,1536.3
1.4217,1564.2
1.4491,1573.6
1.4764,1582.9
1.5038,1610.8
1.5311,1638.7
1.5584,1666.7
1.5858,1703.9
1.6131,1731.8
1.6405,1759.8
1.6678,1862.2
1.6951,1908.8
1.7225,2057.7
1.7498,2299.8
1.7772,2430.2
1.8045,2541.9
1.8319,2588.5
1.8592,2588.5
1.8865,2588.5
1.9139,2551.2
1.9412,2206.7
1.9686,1880.8
1.9959,1508.4
2.0232,1387.3
2.0506,1368.7
2.0779,1368.7
2.1053,1368.7
2.1326,1359.4
2.1599,1359.4
2.1873,1359.4
2.2146,1359.4
2.2420,1359.4
2.2693,1359.4
2.2967,1359.4
2.3240,1368.7
2.3513,1368.7
2.3787,1378.0
2.4060,1378.0
2.4334,1387.3
2.4607,1387.3
2.4880,1387.3
2.5154,1378.0
2.5427,1368.7
2.5701,1359.4
2.5974,1340.8
2.6247,1331.5
2.6521,1322.2
2.6794,1322.2
2.7068,1312.8
2.7341,1312.8
2.7614,1312.8
2.7888,1312.8
2.8161,1312.8
2.8435,1312.8
2.8708,1312.8
2.8982,1312.8
2.9255,1312.8
2.9528,1303.5
2.9802,1303.5
3.0075,1303.5
3.0349,1303.5
3.0622,1294.2
3.0895,1294.2
3.1169,1294.2
3.1442,1294.2
3.1716,1284.9
3.1989,1284.9
3.2262,1284.9
3.2536,1284.9
3.2809,1284.9
3.3083,1284.9
3.3356,1294.2
3.3630,1294.2
3.3903,1294.2
3.4176,1284.9
3.4450,1284.9
3.4723,1284.9
3.4997,1275.6
3.5270,1275.6
3.5543,1275.6
3.5817,1275.6
3.6090,1275.6
3.6364,1275.6
3.6637,1266.3
3.6910,1266.3
3.7184,1266.3
3.7457,1257.0
3.7731,1257.0
3.8004,1257.0
3.8278,1257.0
3.8551,1247.7
3.8824,1247.7
3.9098,1247.7
3.9371,1247.7
3.9645,1247.7
3.9918,1247.7
4.0191,1238.4
4.0465,1238.4
4.0738,1238.4
4.1012,1238.4
4.1285,1238.4
4.1558,1238.4
4.1832,1238.4
4.2105,1238.4
4.2379,1238.4
