2theta_deg,Intensity_counts
0.5195,4497.2
0.5468,4338.9
0.5742,3333.3
0.6015,3333.3
0.6288,3333.3
0.6562,3333.3
0.6835,4422.7
0.7109,4432.0
0.7382,4432.0
0.7656,4432.0
0.7929,4348.2
0.8202,4338.9
0.8476,4338.9
0.8749,4338.9
0.9023,4338.9
0.9296,4441.3
0.9569,4441.3
0.9843,4441.3
1.0116,4432.0
1.0390,4320.3
1.0663,3985.1
1.0936,3333.3
1.1210,3333.3
1.1483,3333.3
1.1757,4441.3
1.2030,4441.3
1.2303,4441.3
1.2577,4441.3
1.2850,4338.9
1.3124,4338.9
1.3397,3333.3
1.3671,3985.1
1.3944,3985.1
1.4217,4441.3
1.4491,4441.3
1.4764,4441.3
1.5038,4441.3
1.5311,3333.3
1.5584,3333.3
1.5858,3333.3
1.6131,3985.1
1.6405,3985.1
1.6678,3985.1
1.6951,4432.0
1.7225,4441.3
1.7498,4441.3
1.7772,4441.3
1.8045,4432.0
1.8319,4441.3
1.8592,3333.3
1.8865,4441.3
1.9139,4441.3
1.9412,4441.3
1.9686,4441.3
1.9959,3333.3
2.0232,3333.3
2.0506,3333.3
2.0779,4413.4
2.1053,4432.0
2.1326,4432.0
2.1599,4432.0
2.1873,4404.1
2.2146,4348.2
2.2420,4338.9
2.2693,4338.9
2.2967,4441.3
2.3240,4432.0
2.3513,4422.7
2.3787,4422.7
2.4060,3333.3
2.4334,3333.3
2.4607,3333.3
2.4880,3333.3
2.5154,3333.3
2.5427,3882.7
2.5701,3333.3
2.5974,3333.3
2.6247,3333.3
2.6521,3333.3
2.6794,3333.3
2.7068,3333.3
2.7341,4031.7
2.7614,4031.7
2.7888,4031.7
2.8161,3947.9
2.8435,4450.7
2.8708,4460.0
2.8982,4478.6
2.9255,4487.9
2.9528,4469.3
2.9802,4031.7
3.0075,4031.7
3.0349,4022.3
3.0622,4022.3
3.0895,4487.9
3.1169,4487.9
3.1442,4478.6
3.1716,4478.6
3.1989,4460.0
3.2262,4432.0
3.2536,3333.3
3.2809,3333.3
3.3083,3333.3
3.3356,3333.3
3.3630,3333.3
3.3903,3938.5
3.4176,3957.2
3.4450,4478.6
3.4723,4487.9
3.4997,4497.2
3.5270,4497.2
3.5543,4497.2
3.5817,3333.3
3.6090,3333.3
3.6364,3333.3
3.6637,3333.3
3.6910,3333.3
3.7184,3966.5
3.7457,3957.2
3.7731,4543.8
3.8004,4543.8
3.8278,4543.8
3.8551,3333.3
3.8824,3333.3
3.9098,4041.0
3.9371,4031.7
3.9645,4543.8
3.9918,4543.8
