Peak_No,2theta_deg,Intensity_counts,Prominence_threshold
1,2.297,4441.3,50.0
2,4.785,4478.6,50.0
3,5.769,4422.7,50.0
4,6.452,4441.3,50.0
5,8.312,4404.1,50.0
6,9.788,4441.3,50.0
7,12.386,4460.0,50.0
8,13.069,4441.3,50.0
9,15.120,4432.0,50.0
10,15.366,4441.3,50.0
11,18.401,4432.0,50.0
12,18.783,4441.3,50.0
13,19.275,4422.7,50.0
14,19.522,4497.2,50.0
15,19.768,4497.2,50.0
16,20.205,4497.2,50.0
17,20.506,4497.2,50.0
18,21.135,4432.0,50.0
19,21.763,4460.0,50.0
20,22.037,4497.2,50.0
21,22.502,4432.0,50.0
22,24.170,4441.3,50.0
23,24.416,4460.0,50.0
24,25.099,4441.3,50.0
25,26.466,4450.7,50.0
26,27.450,4497.2,50.0
27,28.079,4497.2,50.0
28,28.626,4497.2,50.0
29,29.364,4422.7,50.0
30,30.130,4422.7,50.0
31,30.540,4497.2,50.0
32,31.798,4432.0,50.0
33,33.520,4460.0,50.0
34,33.794,4497.2,50.0
35,34.204,4441.3,50.0
