Peak_No,2theta_deg,Intensity_counts,Prominence_threshold
1,1.148,4599.6,50.0
2,1.586,4422.7,50.0
3,2.597,838.0,50.0
4,3.226,772.8,50.0
5,5.386,3165.7,50.0
6,6.781,838.0,50.0
7,7.683,2141.5,50.0
8,8.366,3677.8,50.0
9,8.941,744.9,50.0
10,9.487,2253.3,50.0
11,10.827,3761.6,50.0
12,12.686,903.2,50.0
13,14.463,2197.4,50.0
14,14.928,772.8,50.0
15,15.284,1461.8,50.0
16,15.584,2923.6,50.0
17,16.104,1098.7,50.0
18,16.705,4441.3,50.0
19,17.526,2178.8,50.0
20,19.084,3528.9,50.0
21,20.615,1778.4,50.0
22,23.295,1480.4,50.0
23,24.115,1387.3,50.0
24,25.728,763.5,50.0
25,27.478,577.3,50.0
26,27.806,595.9,50.0
27,28.817,633.1,50.0
28,29.474,586.6,50.0
29,30.458,623.8,50.0
30,31.552,791.4,50.0
31,32.372,474.9,50.0
32,36.227,502.8,50.0
