2theta_deg,Intensity_counts
0.7929,2476.7
0.8202,2206.7
0.8476,2346.4
0.8749,2346.4
0.9023,2346.4
0.9296,2346.4
0.9569,2523.3
1.4491,3677.8
1.4764,2877.1
1.5038,4450.7
1.7772,1284.9
1.8045,4460.0
1.8319,4450.7
1.8592,1275.6
1.8865,1275.6
1.9686,4450.7
2.1873,4162.0
2.2420,2085.7
2.2693,512.1
2.2967,502.8
2.3787,456.2
2.4060,446.9
2.4880,372.4
2.5154,372.4
2.6247,204.8
2.6521,204.8
2.6794,195.5
2.7068,186.2
2.8161,158.3
2.8435,149.0
2.8708,139.7
2.8982,139.7
2.9528,111.7
2.9802,102.4
3.0895,55.9
3.1169,55.9
3.1716,74.5
3.2262,65.2
3.2536,55.9
3.2809,55.9
3.3083,93.1
3.3356,83.8
3.4997,74.5
3.5270,74.5
3.5543,74.5
3.5817,55.9
3.6090,55.9
3.6910,55.9
3.7184,55.9
3.7457,65.2
3.7731,74.5
3.8004,74.5
3.8278,46.6
3.8551,37.2
3.8824,37.2
3.9098,46.6
3.9371,46.6
3.9645,46.6
4.0191,18.6
4.0465,18.6
4.0738,27.9
4.1012,37.2
4.1285,27.9
4.1558,37.2
4.1832,37.2
4.2105,37.2
4.2379,27.9
4.2652,27.9
4.2925,18.6
4.3199,9.3
4.3472,9.3
4.3746,9.3
4.4019,0.0
4.4566,37.2
4.4839,37.2
4.5113,37.2
4.5386,27.9
4.5660,27.9
4.5933,27.9
4.6206,27.9
4.6480,9.3
4.6753,9.3
4.7027,-9.3
4.8394,0.0
4.8667,-9.3
5.0034,-9.3
5.1675,-9.3
5.1948,-9.3
5.2221,-9.3
5.2495,9.3
5.4409,419.0
5.4682,633.1
5.9057,0.0
5.9604,37.2
5.9877,27.9
6.2064,1471.1
6.2338,1787.7
6.6986,959.0
6.7259,968.3
6.8353,102.4
7.3274,9.3
7.3548,18.6
7.5461,1182.5
7.6282,2383.6
7.7375,260.7
7.9836,4450.7
8.0109,4450.7
8.1203,130.4
9.0226,204.8
9.0499,204.8
9.8975,9.3
10.4990,186.2
10.5263,186.2
10.5537,167.6
10.6904,55.9
10.7177,55.9
10.7450,46.6
11.1825,-9.3
12.1941,27.9
12.2488,83.8
12.3035,195.5
12.3308,186.2
13.3424,9.3
13.6432,158.3
13.6979,102.4
14.2720,847.3
14.3541,27.9
14.3814,18.6
14.4087,9.3
14.4361,9.3
14.4634,9.3
14.4908,18.6
14.5181,18.6
14.6275,763.5
14.6548,763.5
14.6822,763.5
14.8462,130.4
14.8735,158.3
14.9009,149.0
15.3383,55.9
15.3930,232.8
15.4204,251.4
15.4477,232.8
15.4751,214.2
16.1586,9.3
16.2133,37.2
16.8694,139.7
16.8968,111.7
16.9241,102.4
17.0062,139.7
17.0335,149.0
17.0608,158.3
17.0882,149.0
17.1155,139.7
17.1975,55.9
17.9084,-9.3
17.9357,18.6
17.9631,0.0
18.1545,-9.3
18.4005,437.6
18.4279,446.9
18.4552,419.0
19.0841,93.1
19.1661,18.6
19.1934,9.3
19.2208,9.3
19.2481,0.0
19.7129,251.4
19.7403,242.1
20.1777,260.7
20.3144,46.6
20.3418,37.2
20.3691,27.9
20.3964,27.9
20.4238,9.3
20.6425,102.4
20.6699,111.7
20.6972,93.1
22.0096,-9.3
22.8571,83.8
22.8845,83.8
22.9118,65.2
22.9665,-9.3
23.4586,37.2
23.4860,27.9
23.5133,27.9
24.0055,46.6
24.0328,46.6
