Peak_No,2theta_deg,Intensity_counts,Prominence_threshold
1,1.777,1201.1,50.0
2,3.937,959.0,50.0
3,4.785,865.9,50.0
4,5.414,940.4,50.0
5,5.851,1033.5,50.0
6,7.546,744.9,50.0
7,9.569,400.4,50.0
8,11.866,940.4,50.0
9,15.147,1350.1,50.0
10,17.061,1210.4,50.0
11,18.865,698.3,50.0
12,19.877,707.6,50.0
13,20.889,642.5,50.0
14,22.119,512.1,50.0
15,22.529,502.8,50.0
16,22.748,512.1,50.0
17,25.400,428.3,50.0
18,26.685,409.7,50.0
19,28.025,307.3,50.0
20,28.380,409.7,50.0
21,28.599,409.7,50.0
22,29.228,316.6,50.0
23,30.567,372.4,50.0
24,31.497,307.3,50.0
25,32.098,353.8,50.0
26,32.946,288.6,50.0
27,34.122,270.0,50.0
