2theta_deg,Intensity_counts
0.5195,726.3
0.5468,726.3
0.5742,726.3
0.6015,707.6
0.6288,651.8
0.6562,651.8
0.6835,651.8
0.7109,679.7
0.7382,679.7
0.7656,689.0
0.7929,698.3
0.8202,735.6
0.8476,744.9
0.8749,744.9
0.9023,763.5
0.9296,800.7
0.9569,810.1
0.9843,810.1
1.0116,875.2
1.0390,875.2
1.0663,875.2
1.1210,1629.4
1.1483,1629.4
1.1757,1517.7
1.2577,3398.5
1.2850,3500.9
1.3124,3780.3
1.3397,3789.6
1.3671,3938.5
1.3944,3938.5
1.4217,3873.4
1.4491,3705.8
1.4764,2309.1
1.5038,2299.8
1.5311,1573.6
1.5584,1471.1
1.6131,977.7
1.6405,968.3
1.6678,959.0
1.6951,959.0
1.7225,959.0
1.7498,903.2
1.7772,893.9
1.8045,884.5
1.8319,875.2
1.8592,819.4
1.8865,819.4
1.9139,810.1
1.9412,847.3
1.9686,847.3
1.9959,828.7
2.0232,782.1
2.0506,791.4
2.0779,791.4
2.1053,791.4
2.1326,856.6
2.1599,875.2
2.1873,875.2
2.2146,875.2
2.2420,865.9
2.2693,810.1
2.2967,810.1
2.3240,810.1
2.3513,810.1
2.3787,819.4
2.4060,819.4
2.4334,856.6
2.4607,856.6
2.4880,949.7
2.5154,903.2
2.5427,893.9
2.5701,921.8
2.5974,931.1
2.6247,921.8
2.6521,810.1
2.6794,791.4
2.7068,735.6
2.7341,726.3
2.7614,726.3
2.7888,716.9
2.8161,707.6
2.8435,698.3
2.8708,744.9
2.8982,763.5
2.9255,744.9
2.9528,726.3
2.9802,726.3
3.0075,726.3
3.0349,735.6
3.0622,744.9
3.0895,744.9
3.1169,735.6
3.1442,726.3
3.1716,689.0
3.1989,689.0
3.2262,698.3
3.2536,698.3
3.2809,707.6
3.3083,726.3
3.3356,735.6
3.3630,735.6
3.3903,735.6
3.4176,744.9
3.4450,744.9
3.4723,744.9
3.4997,772.8
3.5270,810.1
3.5543,810.1
3.5817,800.7
3.6090,754.2
3.6364,744.9
3.6637,744.9
3.6910,744.9
3.7184,819.4
3.7457,800.7
3.7731,791.4
3.8004,772.8
3.8278,772.8
3.8551,763.5
3.8824,763.5
3.9098,763.5
3.9371,716.9
3.9645,707.6
3.9918,707.6
4.0191,754.2
4.0465,744.9
4.0738,735.6
4.1012,735.6
4.1285,763.5
4.1558,763.5
4.1832,791.4
4.2105,810.1
4.2379,782.1
4.2652,726.3
4.2925,726.3
4.3199,726.3
4.3472,735.6
4.3746,744.9
4.4019,782.1
4.4293,791.4
4.4566,791.4
4.4839,791.4
4.5113,791.4
4.5386,800.7
4.5660,856.6
4.5933,875.2
4.6206,884.5
4.6480,931.1
4.6753,940.4
4.7027,940.4
4.7300,940.4
4.7573,940.4
4.7847,940.4
4.8120,931.1
4.8394,931.1
4.8667,921.8
4.8941,921.8
4.9214,912.5
4.9487,903.2
4.9761,856.6
5.0034,847.3
5.0308,838.0
5.0581,828.7
5.0854,810.1
5.1128,819.4
5.1401,828.7
5.1675,828.7
5.1948,828.7
5.2221,772.8
5.2495,651.8
5.2768,661.1
5.3042,670.4
5.3315,679.7
5.3589,679.7
5.3862,670.4
5.4135,614.5
5.4409,614.5
5.4682,614.5
5.4956,614.5
5.5229,623.8
5.5502,651.8
5.5776,623.8
5.6049,614.5
5.6323,568.0
5.6596,549.3
5.6869,549.3
5.7143,558.7
5.7416,586.6
5.7690,568.0
5.7963,568.0
5.8237,502.8
5.8510,493.5
5.8783,502.8
5.9057,521.4
5.9330,521.4
5.9604,530.7
5.9877,521.4
6.0150,502.8
6.0424,502.8
6.0697,493.5
6.0971,493.5
6.1244,484.2
6.1517,512.1
6.1791,512.1
6.2064,512.1
6.2338,502.8
6.2611,493.5
6.2884,493.5
6.3158,521.4
6.3431,521.4
6.3705,521.4
6.3978,512.1
6.4252,502.8
6.4525,502.8
6.4798,493.5
6.5072,484.2
6.5345,484.2
6.5619,512.1
6.5892,502.8
6.6165,493.5
6.6439,512.1
6.6712,521.4
6.6986,521.4
6.7259,512.1
6.7532,484.2
6.7806,437.6
6.8079,437.6
6.8353,437.6
6.8626,512.1
6.8900,521.4
6.9173,521.4
6.9446,428.3
6.9720,428.3
6.9993,391.1
7.0267,381.8
7.0540,372.4
7.0813,372.4
7.1087,419.0
7.1360,419.0
7.1634,400.4
7.1907,381.8
7.2180,381.8
7.2454,381.8
7.2727,419.0
7.3001,419.0
7.3274,419.0
7.3548,363.1
7.3821,344.5
7.4094,344.5
7.4368,325.9
7.4641,325.9
7.4915,325.9
7.5188,325.9
7.5461,344.5
7.5735,335.2
7.6008,325.9
7.6282,325.9
7.6555,363.1
7.6828,363.1
7.7102,344.5
7.7375,344.5
7.7649,335.2
7.7922,335.2
7.8195,325.9
7.8469,325.9
7.8742,335.2
7.9016,335.2
7.9289,335.2
7.9563,325.9
7.9836,298.0
8.0109,288.6
8.0383,288.6
8.0656,288.6
8.0930,288.6
8.1203,298.0
8.1476,335.2
8.1750,325.9
8.2023,325.9
8.2297,325.9
8.2570,325.9
8.2843,325.9
8.3117,335.2
8.3390,344.5
8.3664,372.4
8.3937,372.4
8.4211,372.4
8.4484,363.1
8.4757,316.6
8.5031,316.6
8.5304,316.6
8.5578,316.6
8.5851,316.6
8.6124,316.6
8.6398,316.6
8.6671,307.3
8.6945,298.0
8.7218,298.0
8.7491,298.0
8.7765,270.0
8.8038,270.0
8.8312,279.3
8.8585,344.5
8.8859,344.5
8.9132,344.5
8.9405,335.2
8.9679,325.9
8.9952,325.9
9.0226,335.2
9.0499,335.2
9.0772,335.2
9.1046,288.6
9.1319,288.6
9.1593,288.6
9.1866,279.3
9.2139,279.3
9.2413,288.6
9.2686,298.0
9.2960,307.3
9.3233,325.9
9.3506,325.9
9.3780,325.9
9.4053,316.6
9.4327,307.3
9.4600,298.0
9.4874,298.0
9.5147,298.0
9.5420,307.3
9.5694,353.8
9.5967,344.5
9.6241,316.6
9.6514,307.3
9.6787,307.3
9.7061,298.0
9.7334,288.6
9.7608,270.0
9.7881,260.7
