2theta_deg,Intensity_counts
0.5195,1294.2
0.5468,1312.8
0.5742,1303.5
0.6015,1294.2
0.6288,1284.9
0.6562,1275.6
0.6835,1275.6
0.7109,1257.0
0.7382,1247.7
0.7656,1284.9
0.7929,1294.2
0.8202,1275.6
0.8476,1275.6
0.8749,1275.6
0.9023,1322.2
0.9296,1312.8
0.9569,1396.6
0.9843,1396.6
1.0116,1396.6
1.0390,1387.3
1.0663,1378.0
1.0936,1378.0
1.1210,1461.8
1.1483,1517.7
1.1757,1573.6
1.2030,1666.7
1.2303,1713.2
1.2577,1769.1
1.3124,2029.8
1.3397,2690.9
1.3671,2746.7
1.3944,3175.0
1.4217,4013.0
1.4491,4022.3
1.4764,4022.3
1.5038,3985.1
1.5311,3584.7
1.5584,3528.9
1.5858,2504.7
1.6131,2551.2
1.6405,2504.7
1.6678,2504.7
1.6951,2486.0
1.7225,2486.0
1.7498,2476.7
1.7772,2337.1
1.8045,2337.1
1.8319,1927.4
1.8592,1880.8
1.8865,1806.3
1.9139,1797.0
1.9412,1676.0
1.9686,1666.7
1.9959,1657.4
2.0232,1657.4
2.0506,1573.6
2.0779,1517.7
2.1053,1471.1
2.1326,1499.1
2.1599,1499.1
2.1873,1499.1
2.2146,1489.8
2.2420,1424.6
2.2693,1471.1
2.2967,1508.4
2.3240,1508.4
2.3513,1433.9
2.3787,1433.9
2.4060,1443.2
2.4334,1480.4
2.4607,1471.1
2.4880,1471.1
2.5154,1461.8
2.5427,1433.9
2.5701,1433.9
2.5974,1471.1
2.6247,1536.3
2.6521,1536.3
2.6794,1536.3
2.7068,1527.0
2.7341,1517.7
2.7614,1480.4
2.7888,1433.9
2.8161,1424.6
2.8435,1452.5
2.8708,1461.8
2.8982,1499.1
2.9255,1499.1
2.9528,1499.1
2.9802,1499.1
3.0075,1471.1
3.0349,1471.1
3.0622,1517.7
3.0895,1517.7
3.1169,1508.4
3.1442,1499.1
3.1989,1554.9
3.2262,1554.9
3.2536,1554.9
3.2809,1545.6
3.3083,1545.6
3.3356,1610.8
3.3630,1638.7
3.3903,1638.7
3.4176,1676.0
3.4450,1676.0
3.4723,1610.8
3.4997,1610.8
3.5270,1601.5
3.5543,1601.5
3.5817,1638.7
3.6090,1685.3
3.6364,1648.0
3.6637,1648.0
3.6910,1629.4
3.7184,1601.5
3.7457,1592.2
3.7731,1741.2
3.8004,1750.5
3.8278,1759.8
3.8551,1769.1
3.8824,1769.1
3.9098,1769.1
3.9371,1843.6
3.9645,1862.2
3.9918,1852.9
4.0191,1843.6
4.0465,1843.6
4.0738,1890.1
4.1012,1890.1
4.1285,1862.2
4.1558,1862.2
4.1832,1890.1
4.2105,1890.1
4.2379,1936.7
4.2652,1936.7
4.2925,1973.9
4.3199,1973.9
4.3472,1964.6
4.3746,1852.9
4.4019,1787.7
4.4293,1787.7
4.4566,1787.7
4.4839,1815.6
4.5113,1806.3
4.5386,1806.3
4.5660,1797.0
4.5933,1666.7
4.6206,1666.7
4.6480,1666.7
4.6753,1685.3
4.7027,1694.6
4.7300,1694.6
4.7573,1703.9
4.7847,1778.4
4.8120,1778.4
4.8394,1778.4
4.8667,1731.8
4.8941,1713.2
4.9214,1722.5
4.9487,1741.2
4.9761,1722.5
5.0034,1666.7
5.0308,1666.7
5.0581,1648.0
5.0854,1638.7
5.1128,1648.0
5.1401,1666.7
5.1675,1657.4
5.1948,1601.5
5.2221,1554.9
5.2495,1564.2
5.2768,1573.6
5.3042,1741.2
5.3315,1741.2
5.3589,1657.4
5.3862,1657.4
5.4135,1657.4
5.4409,1657.4
5.4682,1648.0
5.4956,1648.0
5.5229,1648.0
5.5502,1657.4
5.5776,1657.4
5.6049,1769.1
5.6323,1862.2
5.6596,1899.4
5.6869,1899.4
5.7143,2160.1
5.7416,2216.0
5.7690,2327.7
5.7963,2392.9
5.8510,3808.2
5.8783,3864.1
5.9057,3966.5
5.9330,4013.0
5.9604,4022.3
5.9877,4003.7
6.0150,3929.2
6.0424,3929.2
6.0697,2793.3
6.0971,2951.6
6.1244,2383.6
6.1517,2327.7
6.1791,2132.2
6.2064,2132.2
6.2338,2095.0
6.2611,2095.0
6.2884,2104.3
6.3158,2216.0
6.3431,2225.3
6.3705,2234.6
6.3978,2243.9
6.4252,2309.1
6.4525,2318.4
6.4798,2392.9
6.5072,2392.9
6.5345,2392.9
6.5619,2169.5
6.5892,2178.8
6.6165,2178.8
6.6439,2132.2
6.6712,2057.7
6.6986,1992.6
6.7259,1815.6
6.7532,1815.6
6.7806,1806.3
6.8079,1797.0
6.8353,1676.0
6.8626,1610.8
6.8900,1601.5
6.9173,1592.2
6.9446,1592.2
6.9720,1582.9
6.9993,1573.6
7.0267,1545.6
7.0540,1545.6
7.0813,1545.6
7.1087,1536.3
7.1360,1536.3
7.1634,1536.3
7.1907,1545.6
7.2180,1554.9
7.2454,1554.9
7.2727,1554.9
7.3001,1517.7
7.3274,1471.1
7.3548,1461.8
7.3821,1452.5
7.4094,1452.5
7.4368,1443.2
7.4641,1443.2
7.4915,1433.9
7.5188,1415.3
7.5461,1415.3
7.5735,1406.0
7.6008,1387.3
7.6282,1387.3
7.6555,1480.4
7.6828,1480.4
7.7102,1406.0
7.7375,1406.0
7.7649,1415.3
7.7922,1415.3
7.8195,1415.3
7.8469,1396.6
7.8742,1406.0
7.9016,1406.0
7.9289,1396.6
7.9563,1396.6
7.9836,1387.3
8.0109,1378.0
8.0383,1433.9
8.0656,1424.6
8.0930,1415.3
8.1203,1340.8
8.1476,1322.2
8.1750,1331.5
8.2023,1331.5
8.2297,1331.5
8.2570,1359.4
8.2843,1303.5
8.3117,1275.6
8.3390,1275.6
8.3664,1275.6
8.3937,1275.6
8.4211,1266.3
8.4484,1257.0
8.4757,1257.0
8.5031,1247.7
8.5304,1201.1
8.5578,1201.1
8.5851,1210.4
8.6124,1229.1
8.6398,1238.4
8.6671,1247.7
8.6945,1247.7
8.7218,1238.4
8.7491,1229.1
8.7765,1229.1
8.8038,1219.7
8.8312,1219.7
8.8585,1219.7
8.8859,1238.4
8.9132,1247.7
8.9405,1275.6
8.9679,1275.6
8.9952,1284.9
9.0226,1303.5
9.0499,1247.7
9.0772,1238.4
9.1046,1182.5
9.1319,1163.9
9.1593,1173.2
9.1866,1201.1
9.2139,1210.4
9.2413,1238.4
9.2686,1238.4
9.2960,1219.7
9.3233,1210.4
9.3506,1219.7
9.3780,1257.0
9.4053,1257.0
9.4327,1126.6
9.4600,1126.6
9.4874,1117.3
9.5147,1126.6
9.5420,1163.9
9.5694,1163.9
9.5967,1135.9
9.6241,1135.9
9.6514,1182.5
9.6787,1182.5
9.7061,1163.9
9.7334,1154.6
9.7608,1173.2
9.7881,1201.1
9.8154,1182.5
9.8428,1173.2
9.8701,1154.6
9.8975,1154.6
9.9248,1108.0
