2theta_deg,Intensity_counts
0.5195,2951.6
0.5468,4208.6
0.5742,4199.3
0.6015,4180.6
0.6288,4171.3
0.8749,4217.9
0.9023,4217.9
1.0663,1694.6
1.0936,2951.6
1.2303,2951.6
1.2577,4217.9
1.3124,493.5
1.3397,493.5
1.4764,4199.3
1.7498,2951.6
1.7772,2951.6
1.8045,2951.6
1.9412,4217.9
1.9686,4217.9
2.1053,456.2
2.1326,4217.9
2.1599,623.8
3.4723,2728.1
3.4997,2728.1
3.5270,419.0
3.5543,428.3
3.5817,968.3
4.2105,419.0
4.2379,419.0
4.9487,419.0
6.2338,251.4
6.2611,251.4
6.4525,242.1
7.0813,419.0
7.1907,642.5
7.3548,698.3
7.5188,2625.7
7.6282,4050.3
7.6555,4450.7
7.7922,419.0
7.8195,744.9
7.9836,679.7
8.0930,642.5
8.5031,419.0
8.5304,419.0
9.2413,419.0
9.8975,642.5
9.9522,419.0
10.0615,642.5
10.2256,642.5
11.5653,800.7
11.5926,800.7
12.0301,428.3
12.0574,419.0
12.3855,642.5
12.7683,642.5
13.3424,288.6
13.3698,279.3
13.4792,428.3
13.5065,642.5
13.6705,642.5
15.2837,642.5
15.9125,810.1
16.3500,642.5
16.3773,642.5
16.4867,0.0
16.6507,18.6
17.0335,419.0
17.1975,0.0
17.2796,698.3
17.7170,419.0
18.4552,419.0
18.8927,642.5
19.0567,642.5
19.1661,419.0
19.4668,-9.3
19.4942,9.3
19.5215,18.6
19.8496,419.0
20.4785,260.7
20.5605,419.0
20.5878,419.0
20.6972,-9.3
20.8066,251.4
20.8339,251.4
20.8612,-9.3
21.2714,419.0
21.5448,-9.3
21.9822,428.3
22.0096,419.0
22.0369,18.6
22.0643,18.6
22.6658,-9.3
22.7204,428.3
22.7478,428.3
23.2673,18.6
23.3219,0.0
23.3493,-9.3
23.3766,642.5
23.4040,633.1
23.4313,419.0
23.4586,419.0
24.1422,419.0
24.1695,419.0
25.5366,428.3
26.2474,428.3
26.2748,428.3
26.9856,428.3
27.5325,242.1
27.5598,288.6
27.7785,530.7
29.9658,530.7
30.1299,530.7
30.1572,530.7
30.4853,530.7
30.5126,419.0
30.5400,428.3
30.5673,428.3
31.0321,530.7
31.0595,530.7
31.1962,530.7
31.2235,530.7
31.7703,530.7
31.9344,530.7
31.9617,419.0
32.0984,530.7
32.1258,530.7
32.6726,409.7
32.8366,530.7
33.0007,530.7
33.3835,419.0
33.9029,530.7
33.9303,530.7
34.0943,419.0
34.7505,4590.3
