2theta_deg,Intensity_counts
0.5195,2383.6
0.5468,2206.7
0.5742,2188.1
0.6015,2169.5
0.6288,2150.8
0.6562,2085.7
0.6835,2076.4
0.7109,2001.9
0.7382,1973.9
0.7656,1936.7
0.7929,1918.1
0.8202,1890.1
0.8476,1862.2
0.8749,1843.6
0.9023,1825.0
0.9296,1769.1
0.9569,1759.8
0.9843,1750.5
1.0116,1741.2
1.0390,1722.5
1.0663,1648.0
1.0936,1638.7
1.1210,1620.1
1.1483,1601.5
1.1757,1564.2
1.2030,1545.6
1.2303,1480.4
1.2577,1461.8
1.2850,1415.3
1.3124,1406.0
1.3397,1387.3
1.3671,1312.8
1.3944,1294.2
1.4217,1275.6
1.4491,1257.0
1.4764,1210.4
1.5038,1191.8
1.5311,1182.5
1.5584,1173.2
1.5858,1145.3
1.6131,1135.9
1.6405,1126.6
1.6678,1117.3
1.6951,1033.5
1.7225,1014.9
1.7498,1005.6
1.7772,996.3
1.8045,996.3
1.8319,987.0
1.8592,977.7
1.8865,968.3
1.9139,959.0
1.9412,949.7
1.9686,931.1
1.9959,865.9
2.0232,847.3
2.0506,838.0
2.0779,819.4
2.1053,800.7
2.1326,791.4
2.1599,782.1
2.1873,772.8
2.2146,763.5
2.2420,763.5
2.2693,735.6
2.2967,726.3
2.3240,716.9
2.3513,707.6
2.3787,689.0
2.4060,670.4
2.4334,633.1
2.4607,623.8
2.4880,614.5
2.5154,605.2
2.5427,595.9
2.5701,595.9
2.5974,586.6
2.6247,586.6
2.6521,586.6
2.6794,577.3
2.7068,577.3
2.7341,577.3
2.7614,577.3
2.7888,568.0
2.8161,568.0
2.8435,558.7
2.8708,558.7
2.8982,558.7
2.9255,549.3
2.9528,549.3
2.9802,549.3
3.0075,549.3
3.0349,540.0
3.0622,540.0
3.0895,530.7
3.1169,530.7
3.1442,521.4
3.1716,521.4
3.1989,512.1
3.2262,512.1
3.2536,512.1
3.2809,512.1
3.3083,512.1
3.3356,512.1
3.3630,512.1
3.3903,521.4
