2theta_deg,Intensity_counts
0.6077,494.8
0.6630,487.4
0.7735,413.5
0.8287,413.5
0.8840,384.0
0.9392,376.6
0.9945,369.2
1.0497,361.8
1.1050,347.1
1.1602,339.7
1.2155,324.9
1.2707,317.5
1.3260,302.8
1.3812,302.8
1.4365,302.8
1.4917,288.0
1.5470,273.2
1.6022,265.8
1.6575,258.5
1.7127,243.7
1.7680,236.3
1.8232,221.5
1.8785,221.5
1.9337,221.5
1.9890,221.5
2.0442,214.2
2.0994,214.2
2.1547,214.2
2.2099,206.8
2.2652,199.4
2.3204,199.4
2.3757,199.4
2.4309,192.0
2.4862,199.4
2.5414,214.2
2.5967,214.2
2.6519,465.2
2.7072,265.8
2.7624,509.5
2.8177,472.6
2.8729,465.2
2.9282,465.2
2.9834,465.2
3.0939,169.8
3.1492,155.1
3.2044,147.7
3.2597,140.3
3.3149,132.9
3.3702,132.9
3.4254,132.9
3.4807,140.3
3.5359,132.9
3.5912,132.9
3.6464,125.5
3.7017,125.5
3.7569,132.9
3.8122,132.9
3.8674,125.5
3.9227,125.5
3.9779,125.5
4.0331,118.2
4.0884,118.2
4.1436,118.2
4.1989,125.5
4.2541,125.5
4.3094,125.5
4.3646,118.2
4.4199,118.2
4.4751,110.8
4.5304,110.8
4.5856,110.8
4.6409,118.2
4.6961,118.2
4.7514,118.2
4.8066,118.2
4.8619,118.2
4.9171,118.2
5.0276,140.3
5.0829,376.6
5.1381,376.6
5.1934,339.7
5.3039,125.5
5.3591,118.2
5.4144,339.7
5.4696,110.8
5.5801,110.8
5.6354,110.8
5.6906,110.8
5.7459,118.2
5.8011,118.2
5.8564,118.2
5.9116,110.8
5.9669,110.8
6.0221,118.2
6.0773,118.2
6.1326,110.8
6.1878,103.4
6.2983,110.8
6.3536,110.8
6.4088,110.8
6.4641,110.8
6.5193,110.8
6.5746,110.8
6.6298,310.2
6.6851,273.2
6.7403,125.5
6.7956,199.4
6.8508,199.4
6.9061,110.8
6.9613,310.2
7.0166,118.2
7.0718,110.8
7.1271,110.8
7.1823,118.2
7.2376,118.2
7.2928,302.8
7.3481,177.2
7.4033,302.8
7.4586,376.6
7.5138,324.9
7.5691,118.2
7.6243,110.8
7.6796,110.8
7.7348,118.2
7.7901,125.5
7.8453,132.9
7.9006,147.7
7.9558,376.6
8.0110,221.5
8.0663,354.5
8.1215,354.5
8.1768,354.5
8.2320,162.5
8.2873,339.7
8.3425,339.7
8.5083,1942.2
8.5635,1986.5
8.7293,1971.7
8.7845,1979.1
8.8398,457.8
8.8950,893.5
8.9503,893.5
9.0055,768.0
9.0608,856.6
9.1160,539.1
9.1713,1159.4
9.2265,1041.2
9.2818,1107.7
9.3370,1137.2
9.3923,413.5
9.4475,1159.4
9.5028,1159.4
9.5580,265.8
9.6133,465.2
9.6685,435.7
9.7238,465.2
9.7790,509.5
9.8343,509.5
9.8895,443.1
9.9448,502.2
10.1105,812.3
10.1657,812.3
10.2210,745.8
10.2762,745.8
10.3315,782.8
