2theta_deg,Intensity_counts
0.7182,7.4
0.7735,22.2
0.8287,14.8
1.0497,7.4
1.1050,14.8
1.1602,29.5
1.2155,14.8
1.2707,14.8
1.3260,7.4
1.3812,7.4
1.4365,7.4
1.4917,22.2
1.5470,22.2
1.6022,22.2
1.6575,22.2
1.7127,7.4
1.7680,7.4
1.8232,14.8
1.8785,14.8
1.9337,7.4
1.9890,7.4
2.0442,22.2
2.0994,7.4
2.1547,7.4
2.2099,36.9
2.2652,29.5
2.3204,7.4
2.3757,7.4
2.4309,14.8
2.4862,29.5
2.5414,7.4
2.5967,7.4
2.6519,22.2
2.7072,7.4
2.7624,14.8
2.9834,7.4
3.0387,44.3
3.0939,51.7
3.1492,51.7
3.2044,73.8
3.2597,66.5
3.3149,110.8
3.3702,140.3
3.4254,184.6
3.4807,199.4
3.5912,221.5
3.6464,251.1
3.7017,258.5
3.7569,280.6
3.8122,280.6
3.8674,280.6
3.9227,280.6
3.9779,280.6
4.0331,288.0
4.1436,420.9
4.1989,435.7
4.3094,7.4
4.3646,7.4
4.4199,22.2
4.6409,7.4
4.6961,7.4
4.8066,7.4
4.8619,14.8
4.9171,14.8
4.9724,14.8
5.0276,14.8
5.0829,14.8
5.1381,7.4
5.1934,7.4
5.2486,7.4
5.4144,7.4
5.5249,22.2
5.5801,7.4
5.6354,14.8
5.6906,22.2
5.7459,22.2
5.8011,22.2
5.8564,29.5
5.9116,7.4
5.9669,14.8
6.0221,14.8
6.0773,14.8
6.1326,7.4
6.3536,7.4
6.4088,29.5
6.4641,29.5
6.5193,14.8
6.5746,7.4
6.6298,7.4
6.6851,7.4
6.7403,29.5
6.7956,14.8
6.8508,22.2
6.9061,22.2
6.9613,7.4
7.0718,22.2
7.1271,29.5
7.1823,66.5
7.2376,81.2
7.4586,310.2
7.5138,465.2
7.5691,568.6
7.6796,590.8
7.7348,605.5
7.7901,36.9
7.8453,22.2
7.9006,22.2
7.9558,664.6
8.0110,7.4
8.1215,745.8
8.2873,819.7
8.3425,790.2
8.3978,14.8
8.5083,819.7
8.5635,14.8
8.7293,14.8
8.7845,22.2
8.8398,14.8
8.8950,14.8
8.9503,14.8
9.0055,7.4
9.1160,36.9
9.1713,51.7
9.6133,1668.9
9.6685,1787.1
9.7790,450.5
9.8343,88.6
9.9448,66.5
10.0000,1875.7
10.0552,36.9
10.1105,29.5
10.1657,22.2
10.2210,7.4
10.2762,2060.3
10.3315,7.4
10.3867,1993.8
10.4420,14.8
10.4972,7.4
10.5525,7.4
10.6077,2030.8
10.7735,29.5
10.8287,7.4
10.9392,7.4
10.9945,36.9
11.0497,36.9
11.1050,51.7
11.1602,73.8
11.2155,66.5
11.2707,110.8
11.3260,22.2
11.3812,14.8
11.4917,169.8
11.5470,29.5
11.7680,317.5
11.8785,347.1
11.9337,347.1
11.9890,36.9
12.0994,280.6
12.1547,96.0
12.2099,88.6
12.2652,36.9
12.3757,14.8
12.4309,29.5
12.4862,192.0
